Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front brakes,Diameter,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Compression,Ignition,Fuel consumption,Greenhouse gases,Emission details,Rake (fork angle),Trail,Front tire,Rear tire,Wheels,Reserve fuel capacity,Torque,Lubrication system,Driveline,Overall height,Overall length,Overall width,Factory warranty,Carrying capacity,Top speed,Instruments,Light,Electrical,Seat,Exhaust system,Oil capacity,Alternate seat height,Max RPM,Modifications compared to previous model,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Pulley teeth,1/4 mile (0.4 km),Belt teeth,Belt width
Scorpa 125 T-Ride,2017,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.7 ccm (7.55 cubic inches),"Single cylinder, two-stroke",Nikasil coated cylinder,,56.0 x 50.6 mm (2.2 x 2.0 inches),,Carburettor. Keihin Ø 28 mm,,Liquid,5-speed,Chain   (final drive),Hydraulically activated multidisc in oil bath,Tubular section chrome-moly,"Hydraulic telescopic fork, Paoli  40 mm",185 mm (7.3 inches),Adjustable shock absorber,145 mm (5.7 inches),Single disc,,Single disc,91.4 kg (201.5 pounds),,,"860 mm (33.9 inches) If adjustable, lowest setting.",330 mm (13.0 inches),1420 mm (55.9 inches),7.00 litres (1.85 US gallons),White/orange/black,Electric & kick,French brand.,,Hidria,,,,,,1.60-21 ,2.15-18 ,Graphit anodized aluminum rim,,,,,,2050 mm (80.7 inches),,,,,,,,,Steel header pipe,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,,
GAS GAS TXT Racing 280 E4,2017,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,272.2 ccm (16.61 cubic inches),"Single cylinder, two-stroke",Reed valve. ,,76.0 x 60.0 mm (3.0 x 2.4 inches),,Carburettor. Keihin PWK 28,,Liquid,6-speed,Chain   (final drive),GG 1/3 hydraulic-diaphragm-system,Chrom-Molybdenum tubular frame,TECH with aluminium bar Ø 39,180 mm (7.1 inches),Reiger hydraulic mono shock absorber (2 ways). Rebound and spring pre-load ajustable.,164 mm (6.5 inches),Single disc. Floating discs. Four-piston calipers. ,150 mm (5.9 inches),Single disc. Two-piston calipers. ,67.5 kg (148.8 pounds),,,"650 mm (25.6 inches) If adjustable, lowest setting.",,1320 mm (52.0 inches),2.50 litres (0.66 US gallons),Red/black/white,Kick,Spanish brand. ,,CDI digital magnetic flywheel,,,,,,2.75-21 ,4.00-18 ,Michelin Trial X11 tyres,,,,,1130 mm (44.5 inches),2010 mm (79.1 inches),825 mm (32.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California SE,2017,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1380.0 ccm (84.21 cubic inches),"V2, four-stroke",90 degree V-twin,96.0 HP (70.1  kW)) @ 6500 RPM,104.0 x 81.2 mm (4.1 x 3.2 inches),,Injection,,Oil & air,6-speed,Shaft drive (cardan)   (final drive),,Closed double-cradle tubular steel frame with elastokinematic engine fastening,"46 mm hydraulic telescopic fork, with radial calliper mounting brackets.",120 mm (4.7 inches),Swingarm with double shock absorber with adjustable spring preload. No rebound adjustment on rear shock.,110 mm (4.3 inches),"Double disc. Stainless steel floating discs, Brembo radial callipers with 4 horizontally opposed pistons.",280 mm (11.0 inches),"Single disc. Stainless steel fixed disc, Brembo floating calliper with 2 parallel pistons.",322.0 kg (709.9 pounds),370.0 kg (815.7 pounds),0.2981 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",165 mm (6.5 inches),1665 mm (65.6 inches),21.00 litres (5.55 US gallons),,Electric,Windscreen. ,10.5:1,Ride by Wire with integral management of 3 engine maps,,,Euro 4,32.0°,152 mm (6.0 inches),130/70-18 ,200/60-16 ,Aluminium alloy,,120.0 Nm (12.2 kgf-m or 88.5 ft.lbs) @ 2750 RPM,,,1460 mm (57.5 inches),2445 mm (96.3 inches),1030 mm (40.6 inches),,35 litre side panniers.,,,LED headlamp,,,Polished silencers,,,,,,,,,,,,,,,,,,,,,,
Daelim Dart 125,2017,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",,8.7 HP (6.4  kW)) @ 7500 RPM,52.4 x 57.8 mm (2.1 x 2.3 inches),,Injection,Single Overhead Cams (SOHC),Air,Automatic,Belt   (final drive),,Under bone,Telescopic,,Unit swing Arm,,Single disc,,Single disc,106.0 kg (233.7 pounds),,0.0821 HP/kg,"725 mm (28.5 inches) If adjustable, lowest setting.",,1280 mm (50.4 inches),5.90 litres (1.56 US gallons),"Black, whe",Electric,Korean scooter.,,,,,Euro 3,,,110/70-12 ,110/70-12 ,,,,,CVT,1075 mm (42.3 inches),1845 mm (72.6 inches),670 mm (26.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa Sprint 125,2017,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",,11.0 HP (8.0  kW)) @ 7700 RPM,58.0 x 58.6 mm (2.3 x 2.3 inches),3,Injection. Port injection,Single Overhead Cams (SOHC),Air,Automatic,Belt   (final drive),Automatic dry centrifugal clutch with vibration dampers,Sheet metal body with welded reinforcements,Single arm with coil spring and dual action monoshock absorber - axial stroke 78 mm,,"Coil spring with adjustable preload (4 settings), and dual action hydraulic monoshock - axial stroke 70 mm",,Single disc. ABS. ,140 mm (5.5 inches),Expanding brake (drum brake). ABS,,,,"790 mm (31.1 inches) If adjustable, lowest setting.",,1339 mm (52.7 inches),8.00 litres (2.11 US gallons),"White, black, blue, red, yellow",Electric,,,,2.01 litres/100 km (49.8 km/l or 117.03 mpg),46.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Catalytic converter. Euro 4.,,,110/70-12 ,120/70-12 ,Die-cast aluminium alloy,,10.4 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 6000 RPM,,,,1860 mm (73.2 inches),734 mm (28.9 inches),2-year unlimited-mileage warranty. ,,95.0 km/h (59.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z800,2017,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",806.0 ccm (49.18 cubic inches),"In-line four, four-stroke",,113.0 HP (82.5  kW)) @ 10200 RPM,71.0 x 50.9 mm (2.8 x 2.0 inches),4,Injection. 34 mm x 4 Mikuni with dual throttle valves,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),"Wet multi-disc, manual","Tubular backbone (with engine sub-frame), high-tensile steel",41 mm inverted fork with rebound  damping and spring preload adjustability,,"Bottom-Link Uni-Trak, gas-charged shock  with piggyback reservoir and stepless rebound damping and preload adjustability",,Double disc. Floating discs. ,250 mm (9.8 inches),Single disc. Single-piston caliper.,,227.0 kg (500.4 pounds),,"834 mm (32.8 inches) If adjustable, lowest setting.",150 mm (5.9 inches),1445 mm (56.9 inches),17.00 litres (4.49 US gallons),"Metallic Spark Black/Flat Ebony, Metallic Spark Black/Pearl Stardust White ",Electric,,11.9:1,Digital,,,,31.0°,,120/70-ZR17 ,180/55-ZR17 ,Dunlop Sportmax tires,,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 8500 RPM,"Forced lubrication, wet sump",Sealed chain,1050 mm (41.3 inches),2100 mm (82.7 inches),800 mm (31.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R600,2017,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",Lightweight titanium-alloy valves,,67.0 x 42.5 mm (2.6 x 1.7 inches),,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),Back-torque-limiting clutch,Compact twin-spar aluminum cradle frame,"Inverted Telescopic, coil spring, oil damped",,"Link type, coil spring, oil damped",,Double disc. Brembo,310 mm (12.2 inches),Single disc,,187.0 kg (412.3 pounds),,"810 mm (31.9 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1385 mm (54.5 inches),17.00 litres (4.49 US gallons),"Metallic Triton Blue, Glass Sparkle Black/Marble Daytona Yellow, Metallic Matte Black No. 2/Glass Sparkle Black",Electric,,12.9:1,Transistorized,,,,,,120/70-ZR17 ,180/55-ZR17 ,Three-spoke cast-aluminum-alloy wheels,,,Wet sump,"RK525SMOZ8, 114 links, Chain",,2030 mm (79.9 inches),710 mm (28.0 inches),12 month unlimited mileage limited warranty.,,,,,,,4-into-1 stainless-steel exhaust system with a titanium muffler,,,,,,,,,,,,,,,,,,,,,,
BMW K 1600 GTL Exclusive,2017,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1649.0 ccm (100.62 cubic inches),"In-line six, four-stroke",,160.0 HP (116.8  kW)) @ 7750 RPM,72.0 x 67.5 mm (2.8 x 2.7 inches),4,Injection. Electronic fuel injection with ride-by-wire throttle system,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),"Multi-plate wet clutch, hydraulically operated",Aluminum bridge-type frame with load-bearing engine,"BMW Duolever, central spring strut",124 mm (4.9 inches),BMW Paralever,135 mm (5.3 inches),Double disc. Floating discs. Four-piston calipers. ,320 mm (12.6 inches),Single disc. Floating disc. Two-piston calipers. ,321.0 kg (707.7 pounds),360.2 kg (794.0 pounds),0.4984 HP/kg,,,1618 mm (63.7 inches),26.50 litres (7.00 US gallons),Sparkling Storm Metallic,Electric,Windscreen.,12.2:1,,4.61 litres/100 km (21.7 km/l or 51.02 mpg),107.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Performance / fuel consumption,27.8°,,120/70-ZR17 ,190/55-ZR17 ,"Rim, front 	3.50 x 17in.",4.00 litres (1.06 US gallons),174.9 Nm (17.8 kgf-m or 129.0 ft.lbs) @ 5250 RPM,Dry sump,,1465 mm (57.7 inches),,1001 mm (39.4 inches),,Saddle bags. Topbox.,201.2 km/h (125.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,
Vento Spectra 110,2017,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,110.0 ccm (6.71 cubic inches),"Single cylinder, four-stroke",,10.0 HP (7.3  kW)),,,Carburettor,,Air,4-speed,Chain   (final drive),,,Hydraulic fork,,Dual shock,,Expanding brake (drum brake),,Expanding brake (drum brake),89.0 kg (196.2 pounds),,0.1124 HP/kg,,,,3.80 litres (1.00 US gallons),Red,,Cub,,CDI,,,,,,2.50-17 ,2.75-17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinnis Blade 125,2017,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,11.3 HP (8.2  kW)) @ 9500 RPM,,,Carburettor,,Air,5-speed,Chain   (final drive),,,40mm Telescopic,,Coil Spring,,Single disc. Wavy Disc,,Single disc. Wavy Disc,117.0 kg (257.9 pounds),,0.0962 HP/kg,"920 mm (36.2 inches) If adjustable, lowest setting.",,,10.60 litres (2.80 US gallons),White/blue/black,Electric,,,,,,,,,2.75-21 ,4.10-18 ,Wire spoked,,,,,,,,,,,Analogue,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Trojan,2017,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",,,66.0 x 58.2 mm (2.6 x 2.3 inches),2,"Carburettor. MIKUNI BST31SS, single",Single Overhead Cams (SOHC),Oil & air,5-speed,Chain   (final drive),,,"Telescopic, coil spring, oil damped",205 mm (8.1 inches),"Link type, coil spring, oil damped",200 mm (7.9 inches),Single disc,,Expanding brake (drum brake),,126.0 kg (277.8 pounds),,"815 mm (32.1 inches) If adjustable, lowest setting.",260 mm (10.2 inches),1405 mm (55.3 inches),13.00 litres (3.43 US gallons),White,Electric,Sold in Australia.,9.4:1,Electronic ignition (Transistorized),,,,,,70/100-M21 ,100/90-M18 ,,,,Wet sump,"Sealed chain.. DID520V, 112links.",1185 mm (46.7 inches),2150 mm (84.6 inches),805 mm (31.7 inches),,Headlight protector is also useful as carrier with spring clip for light loading.,,,60/55W halogen headlight,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 350 Retro,2017,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",343.5 ccm (20.96 cubic inches),"Twin, two-stroke",,22.8 HP (16.6  kW)) @ 5250 RPM,58.0 x 65.0 mm (2.3 x 2.6 inches),,Carburettor,,Air,4-speed,Chain   (final drive),,Steel,Telescopic forks,150 mm (5.9 inches),Telescopic units,80 mm (3.1 inches),Single disc,160 mm (6.3 inches),Expanding brake (drum brake),154.0 kg (339.5 pounds),,0.1480 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,1350 mm (53.1 inches),17.00 litres (4.49 US gallons),Red,Kick,Optional 634cc engine (not intended for sale in Europe).,9.8:1,,,,,,,3.25-18 ,3.50-18 ,Wire spoked,2.80 litres (0.74 US gallons),32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,,,,,24 months,,120.0 km/h (74.6 mph),,,,,Chrome,,,,,,,,,,,,,,,,,,,,,,
Ducati Hypermotard 939,2017,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,939.0 ccm (57.30 cubic inches),"V2, four-stroke",L-twin,113.0 HP (82.5  kW)) @ 9000 RPM,94.0 x 67.5 mm (3.7 x 2.7 inches),4,Injection. Magneti Marelli,Desmodromic valve control,Liquid,6-speed,Chain   (final drive),APTC slipper oil bath clutch,Steel tube trellis frame,43mm USD forks,170 mm (6.7 inches),Progressive linkage with fully adjustable monoshock. Aluminium single-sided swingarm,150 mm (5.9 inches),Double disc. ABS. Floating discs. Four-piston calipers. ,245 mm (9.6 inches),Single disc. ABS. Two-piston calipers. ,,198.0 kg (436.5 pounds),,"870 mm (34.3 inches) If adjustable, lowest setting.",,1493 mm (58.8 inches),16.00 litres (4.23 US gallons),"Star White Silk, Ducati Red",Electric,Traction Control.,,,,,Euro 4,25.5°,104 mm (4.1 inches),120/70-17 ,180/55-17 ,10-spoke in light alloy,,97.9 Nm (10.0 kgf-m or 72.2 ft.lbs) @ 7500 RPM,,,,2100 mm (82.7 inches),,2 years unlimited mileage,,,Digital,,,,Single stainless steel muffler with catalytic converter and two lambda probes.,,,,,,,,,,,,,,,,,,,,,,
Yamaha Fascino,2017,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,113.0 ccm (6.90 cubic inches),"Single cylinder, four-stroke",,9.5 HP (6.9  kW)) @ 7500 RPM,50.0 x 57.8 mm (2.0 x 2.3 inches),,Carburettor,Single Overhead Cams (SOHC),Air,Automatic,Belt   (final drive),"Dry, centrifugal",Underbone,Telescopic,,Unit Swing,,Expanding brake (drum brake),,Expanding brake (drum brake),103.0 kg (227.1 pounds),,0.0924 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1270 mm (50.0 inches),5.20 litres (1.37 US gallons),"White, grey, red, blue, cyan",Electric & kick,,9.2:1,DC C.D.I (Capacitor Discharge Ignition),,,,,,90/100-10 ,90/100-10 ,,,8.1 Nm (0.8 kgf-m or 6.0 ft.lbs) @ 5000 RPM,"Force-Feed Lubrication, Wet Sump",,1120 mm (44.1 inches),1815 mm (71.5 inches),675 mm (26.6 inches),,,,,,"12 V, 5 AH(10 H) battery.",,,,,,,,,,,,,,,,,,,,,,,,
Indian Chief Dark Horse,2017,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1811.0 ccm (110.51 cubic inches),"V2, four-stroke",Thunder Stroke® 111 engine,,101.6 x 113.0 mm (4.0 x 4.4 inches),,Injection. Closed Loop Sequential Port,,Air,6-speed,Belt   (final drive),"Wet, multiplate",Cast Aluminum Frame with Integrated Air-Box,Telescopic fork,119 mm (4.7 inches),Single shock,104 mm (4.1 inches),Double disc. ABS. Floating discs. ,300 mm (11.8 inches),Single disc. ABS. Floating disc. ,341.0 kg (751.8 pounds),356.0 kg (784.8 pounds),,"692 mm (27.2 inches) If adjustable, lowest setting.",,1646 mm (64.8 inches),,Thunder Black Smoke,Electric,Keyless starting. Cruise Control.,9.5:1,,,,,29.0°,155 mm (6.1 inches),130/90-B16 ,150/80-B16 ,Cast,,139.0 Nm (14.2 kgf-m or 102.5 ft.lbs) @ 2600 RPM,,,1283 mm (50.5 inches),2553 mm (100.5 inches),1029 mm (40.5 inches),24 months,,,Tank mounted electronic speedometer with odometer,"Tear drop head lamp, spot lights, fender light",,Solo vinyl seat with passenger pillion,Split dual exhaust with cross-over,,,,,,,,,,,,,,,,,,,,,,
Honda Rebel 500,2017,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",471.0 ccm (28.74 cubic inches),"Twin, four-stroke",,48.0 HP (35.0  kW)) @ 8500 RPM,67.0 x 66.8 mm (2.6 x 2.6 inches),4,Carburettor,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),,,41mm fork,122 mm (4.8 inches),Dual shocks,97 mm (3.8 inches),Single disc,,Single disc,185.1 kg (408.0 pounds),,0.2594 HP/kg,"691 mm (27.2 inches) If adjustable, lowest setting.",,1491 mm (58.7 inches),11.17 litres (2.95 US gallons),"Black, Candy Red, Yellow, Silver",Electric,Model ID: CMX500H,10.7:1,PGM-Fi,,,,28.0°,110 mm (4.3 inches),130/90-16 ,150/80-16 ,,,43.0 Nm (4.4 kgf-m or 31.7 ft.lbs) @ 7000 RPM,,O-ring-sealed chain,,,,One year. Unlimited milage. Transferable.,,175.0 km/h (108.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard C50T,2017,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",45-degree V-twin. Aluminum-alloy cylinder plated with Suzuki Composite Electrochemical Material (SCEM).,53.0 HP (38.7  kW)) @ 6000 RPM,83.0 x 74.4 mm (3.3 x 2.9 inches),4,Injection,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),,Double-cradle steel frame,"Telescopic, coil spring, oil damped",140 mm (5.5 inches),"Link type, coil spring, oil damped",105 mm (4.1 inches),Single disc,,Expanding brake (drum brake),,292.0 kg (643.7 pounds),,"700 mm (27.6 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1655 mm (65.2 inches),15.52 litres (4.10 US gallons),Glass Sparkle Black,Electric,Adjustable windshield.,9.4:1,Transistorized,,,,33.0°,,130/90-M16 ,170/80-M15 ,,,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 3200 RPM,Wet sump,Constant mesh,,2500 mm (98.4 inches),955 mm (37.6 inches),12 month unlimited mileage limited warranty.,Saddle bags,,,,,,Chromed and staggered dual-exhaust system mounted on the right side.,,,,,,,,,,,,,,,,,,,,,,
Suzuki Gladius 400,2017,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,398.0 ccm (24.29 cubic inches),"V2, four-stroke",90 degree  V-twin,55.0 HP (40.1  kW)) @ 11000 RPM,72.0 x 49.0 mm (2.8 x 1.9 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Chain   (final drive),Wet multi-plate coil spring,Diamond type,"Telescopic, coil spring, oil damped",125 mm (4.9 inches),"Link type, coil spring, oil damped, spring preload 7-step adjustable",130 mm (5.1 inches),Double disc. 2-piston caliper.,240 mm (9.4 inches),Single disc. 1-piston caliper.,,206.0 kg (454.2 pounds),,"785 mm (30.9 inches) If adjustable, lowest setting.",150 mm (5.9 inches),1445 mm (56.9 inches),14.00 litres (3.70 US gallons),,Electric,,11.5:1,Transistorised,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,25.0°,106 mm (4.2 inches),120/70-ZR17 ,160/60-ZR17 ,,,41.0 Nm (4.2 kgf-m or 30.2 ft.lbs) @ 8500 RPM,Wet sump,,1090 mm (42.9 inches),2130 mm (83.9 inches),760 mm (29.9 inches),1 Year Limited Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Xciting 400i ABS,2017,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",,35.5 HP (25.9  kW)) @ 7500 RPM,92.0 x 75.0 mm (3.6 x 3.0 inches),,Injection. EFI,Overhead Cams (OHC),Liquid,Automatic,Belt   (final drive),,Dual under-bone,"Telescopic Forks, Upper and Lower Triple Tree",,Dual shock,,Double disc. ABS. Floating discs. ,260 mm (10.2 inches),Single disc. ABS. Floating disc. ,209.0 kg (460.8 pounds),,0.1700 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,1570 mm (61.8 inches),12.50 litres (3.30 US gallons),White,Electric,Integrated Sport Styled Tinted Windshield. Cell Phone Holder with 12V DC Adapter.,,Electric,,,,,,120/70-15 ,150/70-14 ,,,37.5 Nm (3.8 kgf-m or 27.7 ft.lbs) @ 6250 RPM,,CVT,1334 mm (52.5 inches),2205 mm (86.8 inches),820 mm (32.3 inches),,Lighted Under Seat Storage for Two Helmets,144.8 km/h (90.0 mph),"Speedometer, Tachometer, Odometer, Multi-Function Trip Meter with Fuel  and  Temp Gauge",Dual Beam Quartz Halogen Head Lights,,,,,,,,,,,,,,,,,,,,,,,,,
Sinnis Matrix II 125,2017,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,8.2 HP (6.0  kW)) @ 7500 RPM,,,Carburettor,,Air,Automatic,Belt   (final drive),,,Telescopic,,Coil Sprung,,Single disc,,Expanding brake (drum brake),115.0 kg (253.5 pounds),,0.0714 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,,6.50 litres (1.72 US gallons),"Grey/blue, Grey/black, White",Electric,,,,,,,,,130/60-13 ,130/60-13 ,,,,,,,,,,,,Analogue,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju MRT 50 Pro ,2017,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",Minarelli NG special cylinder ,,40.3 x 39.0 mm (1.6 x 1.5 inches),,Carburettor. Dell´Orto PHBN 16,,Liquid,6-speed,Chain   (final drive),,Highly resistant double cradle steel perimeter. Detachable rear sub-chassis.,R16V inverted fork of Ø40mm.,,Gas Mono-shock shock absorber and separate bottle PRS system,,Single disc. Galfer wave disc with double piston caliper,200 mm (7.9 inches),Single disc. Galfer Wave.,85.0 kg (187.4 pounds),,,"890 mm (35.0 inches) If adjustable, lowest setting.",,1405 mm (55.3 inches),6.30 litres (1.66 US gallons),"Red, blue, black/green",Kick,Made in Spain.,,,,,,,,80/90-21 ,110/80-18 ,Alloy Rims,,,,,1165 mm (45.9 inches),2150 mm (84.6 inches),800 mm (31.5 inches),,,,,,,,Muffler with aluminium silencer,1.10 litres (1.16 US quarts),,,,,,,,,,,,,,,,,,,,,
Loncin SX2,2017,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",223.0 ccm (13.61 cubic inches),"Single cylinder, four-stroke",,17.7 HP (12.9  kW)) @ 8500 RPM,65.5 x 66.2 mm (2.6 x 2.6 inches),,Carburettor,,Oil & air,6-speed,Chain   (final drive),,Steel,Telescopic fork,,Single shock ,,Single disc,,Expanding brake (drum brake),150.0 kg (330.7 pounds),,0.1180 HP/kg,"910 mm (35.8 inches) If adjustable, lowest setting.",285 mm (11.2 inches),1470 mm (57.9 inches),9.00 litres (2.38 US gallons),"White, red, black",Electric,Chinese bike.,9.2:1,C.D.I,,,,,,90/80-17 ,120/90-18 ,Front tyre size,,17.2 Nm (1.8 kgf-m or 12.7 ft.lbs) @ 6000 RPM,,,,,,,,110.0 km/h (68.4 mph),,,12V 6AH battery.,,,,,,,,,,,,,,,,,,,,,,,,
