Model,Year,Category,Rating,Displacement,Engine type,Torque,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Rake (fork angle),Trail,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Overall length,Ground clearance,Wheelbase,Fuel capacity,Color options,Comments,Power,Valves per cylinder,Fuel control,Transmission type,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Power/weight ratio,Overall width,Reserve fuel capacity,Top speed,Fuel consumption,Greenhouse gases,Modifications compared to previous model,Overall height,Max RPM,Ignition,Lubrication system,Clutch,Exhaust system,Starter,"Weight incl. oil, gas, etc",Alternate seat height,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Fork tube size,0-100 km/h (0-62 mph),Driveline,Electrical,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Coolant,Chain size,Engine details,Wheels
Honda 919,2004,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",919.0 ccm (56.08 cubic inches),"In-line four, four-stroke",92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 6500 RPM,10.8:1,71.0 x 58.0 mm (2.8 x 2.3 inches),Injection,Liquid,6-speed,25.0°,98 mm (3.9 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. Four-piston calipers. ,240 mm (9.4 inches),Single disc. Single-piston caliper. ,194.0 kg (427.7 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",2125 mm (83.7 inches),145 mm (5.7 inches),1461 mm (57.5 inches),18.92 litres (5.00 US gallons),"Light Silver Metallic, Matte Uranium",,,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,43mm cartridge fork with adjustable preload and compression-damping,120 mm (4.7 inches),Single shock with seven-position spring-preload adjustability,127 mm (5.0 inches),,,,235.0 km/h (146.0 mph),,,,,,"Computer-controlled digital transistorized, ",,"Wet, multiplate with coil springs",,Electric,218.0 kg (480.6 pounds),,3.60 litres (3.8 US quarts),SAE 10W-40,,DOT 4,,"NGK CR8EH-9, NGK CR8EHIX-9",1200  +/- 100  RPM,,,,43 mm (1.7 inches),,,,114,16/43 (front/rear),36 PSI (2.5 Bar or 250 kPa),42 PSI (2.9 Bar or 290 kPa),3.00 litres (0.79 US gallons),,,
GAS GAS SM 50,2004,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor,Liquid,6-speed,,,100/80-17 ,130/70-17 ,Single disc,220 mm (8.7 inches),Single disc,93.0 kg (205.0 pounds),"920 mm (36.2 inches) If adjustable, lowest setting.",,370 mm (14.6 inches),1475 mm (58.1 inches),,,,,,,Chain   (final drive),"Type deltabox, made of rectangular profile Cr-Mo",Showa  inverted fork,160 mm (6.3 inches),"Progressive system, Boge shock absorber.",250 mm (9.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Caponord ETV 1000,2004,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",997.6 ccm (60.87 cubic inches),"Twin, four-stroke",97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 6250 RPM,10.4:1,97.0 x 67.5 mm (3.8 x 2.7 inches),Injection,Liquid,6-speed,27.8°,129 mm (5.1 inches),110/80-VR19 ,150/70-VR17 ,Double disc,270 mm (10.6 inches),Single disc,,"820 mm (32.3 inches) If adjustable, lowest setting.",2290 mm (90.2 inches),,1544 mm (60.8 inches),25.00 litres (6.61 US gallons),"Alpine red, Universe blue, Oyster grey, Dust grey",,98.0 HP (71.5  kW)) @ 8250 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),Double Wave Twin Beam in aluminium-magnesium alloy,Marzocchi 50 mm hydraulic telescopic fork,175 mm (6.9 inches),Aluminium alloy swing-arm,175 mm (6.9 inches),,876 mm (34.5 inches),5.00 litres (1.32 US gallons),,,,,1436 mm (56.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing CR2 Bambino,2004,"Minibike, cross"," 2.7  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,Carburettor,Liquid,1-speed,,,,,Single disc,,Expanding brake (drum brake),42.0 kg (92.6 pounds),"675 mm (26.6 inches) If adjustable, lowest setting.",,,,,,,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield US Classic 500,2004,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 3000 RPM,,84.0 x 90.0 mm (3.3 x 3.5 inches),Carburettor,Air,4-speed,,,,,Expanding brake (drum brake),152 mm (6.0 inches),Expanding brake (drum brake),,"760 mm (29.9 inches) If adjustable, lowest setting.",2120 mm (83.5 inches),140 mm (5.5 inches),1370 mm (53.9 inches),14.50 litres (3.83 US gallons),"Black, Velvet green, White, Silver. Delux version in Black, Red",Available in the US.,22.0 HP (16.1  kW)) @ 5500 RPM,,Overhead Valves (OHV),Chain   (final drive),,"Telescopic, Hydraulic Damping",,Swing Arm With Adjustable Shock Absorbers,,,750 mm (29.5 inches),,120.0 km/h (74.6 mph),2.52 litres/100 km (39.7 km/l or 93.34 mpg),58.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,1080 mm (42.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Jonathan 350 Cruiser,2004,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",,9.5:1,79.0 x 71.2 mm (3.1 x 2.8 inches),Carburettor,Air,6-speed,,,120/80-16 ,140/90-15 ,Single disc,220 mm (8.7 inches),Single disc,138.0 kg (304.2 pounds),"870 mm (34.3 inches) If adjustable, lowest setting.",2150 mm (84.6 inches),240 mm (9.4 inches),1470 mm (57.9 inches),19.00 litres (5.02 US gallons),Black (nero opaco),,,,Single Overhead Cams (SOHC),Chain   (final drive),Double craded frame,Hydraulic fork,120 mm (4.7 inches),Hydraulic mono shock absorbers with adjustable spring's setting,100 mm (3.9 inches),,,4.00 litres (1.06 US gallons),,,,,1090 mm (42.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CMX 250 Rebel,2004,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",,9.2:1,53.0 x 53.0 mm (2.1 x 2.1 inches),Carburettor,Air,5-speed,32.6°,161 mm (6.3 inches),100/90-19 ,130/90-15 ,Single disc,,Expanding brake (drum brake),,"676 mm (26.6 inches) If adjustable, lowest setting.",,,1450 mm (57.1 inches),9.84 litres (2.60 US gallons),"Black, Red",,,2,Single Overhead Cams (SOHC),Chain   (final drive),,33mm fork.,117 mm (4.6 inches),Dual shocks with five-position spring-preload adjustability.,74 mm (2.9 inches),,,2.64 litres (0.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS SM 250,2004,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor,Liquid,6-speed,,,120/60-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,101.0 kg (222.7 pounds),"940 mm (37.0 inches) If adjustable, lowest setting.",,340 mm (13.4 inches),1475 mm (58.1 inches),9.50 litres (2.51 US gallons),Red/grey/black,,,,,Chain   (final drive),"TType deltabox, made of rectangular profile Cr-Mo","Marzocchi inverted fork, 50 mm",295 mm (11.6 inches),"Progressive system, Ohlins shock absorber.",320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Bet and Win 250,2004,Scooter," 3.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",251.0 ccm (15.32 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,,,,120/70-12 ,140/70-12 ,Single disc,200 mm (7.9 inches),Single disc,158.0 kg (348.3 pounds),,2000 mm (78.7 inches),,1435 mm (56.5 inches),,,,19.0 HP (13.9  kW)),,,,,,,,,0.1205 HP/kg,750 mm (29.5 inches),,,,,,1140 mm (44.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Katana 750,2004,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,10.7:1,70.0 x 48.7 mm (2.8 x 1.9 inches),Carburettor,Oil & air,6-speed,,,120/70-ZR17 ,150/70-ZR17 ,Double disc,,Single disc,211.0 kg (465.2 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",2140 mm (84.3 inches),,1465 mm (57.7 inches),20.00 litres (5.28 US gallons),"Gray, Blue",,,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,"Telescopic, oil damped, 4-way adjustable rebound damping",,"Link-type suspension, 4-way adjustable rebound damping, fully adjustable compression damping and preload",,,760 mm (29.9 inches),,,,,,1190 mm (46.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Rev 3,2004,Trial," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.6 ccm (15.23 cubic inches),"Single cylinder, two-stroke",,12.0:1,72.5 x 60.5 mm (2.9 x 2.4 inches),Carburettor,Liquid,6-speed,,,,,Single disc,,Single disc,,,,,,,Red/grey,,,,,Chain   (final drive),Double craded iron frame,"Tube, Ø 38 mm",165 mm (6.5 inches),Progressive hydraulic mono shock absorber,170 mm (6.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CR 85 R Expert,2004,Cross / motocross," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",84.7 ccm (5.17 cubic inches),"Single cylinder, two-stroke",,8.4:1,47.5 x 47.8 mm (1.9 x 1.9 inches),Carburettor,Liquid,6-speed,26.4°,,70/90-19 ,90/90-16 ,Single disc,,Single disc,,"876 mm (34.5 inches) If adjustable, lowest setting.",,,1288 mm (50.7 inches),5.29 litres (1.40 US gallons),,Model id CR85RB.,,,,Chain   (final drive),,37mm fully adjustable leading-axle inverted Showa cartridge fork.,274 mm (10.8 inches),Pro-Link fully adjustable Showa single-shock.,290 mm (11.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 620 i.e. Dark Single Disc,2004,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",618.0 ccm (37.71 cubic inches),"V2, four-stroke",53.3 Nm (5.4 kgf-m or 39.3 ft.lbs) @ 6500 RPM,10.5:1,80.0 x 61.8 mm (3.1 x 2.4 inches),Injection,Air,6-speed,24.0°,,120/60-ZR17 ,160/60-ZR17 ,Double disc,245 mm (9.6 inches),Single disc,,"770 mm (30.3 inches) If adjustable, lowest setting.",2100 mm (82.7 inches),,1440 mm (56.7 inches),15.00 litres (3.96 US gallons),Black with matte black tank,,60.0 HP (43.8  kW)) @ 8250 RPM,2,Desmodromic valve control,Chain   (final drive),Tubular steel trellis,43 mm upside-down,130 mm (5.1 inches),Progressive linkage with Sachs adjustable monoshock.,148 mm (5.8 inches),,,3.50 litres (0.92 US gallons),,,,,1212 mm (47.7 inches),,,,,,,177.0 kg (390.2 pounds),,,,,,,,,,,,,,,,,,,,,,,
Aprilia MX 125,2004,Enduro / offroad," 4.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",,12.0:1,54.0 x 54.6 mm (2.1 x 2.1 inches),Injection,Liquid,6-speed,,,110/70-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,35.0 kg (77.2 pounds),"890 mm (35.0 inches) If adjustable, lowest setting.",2180 mm (85.8 inches),,1500 mm (59.1 inches),11.00 litres (2.91 US gallons),Matrix black,,15.0 HP (10.9  kW)),,,Chain   (final drive),Closed-cradle split at the level of the exhaust,40 mm upside-down telescopic fork,260 mm (10.2 inches),Aluminium swinging fork with rectangular cross-section,280 mm (11.0 inches),0.4286 HP/kg,890 mm (35.0 inches),1.50 litres (0.40 US gallons),,,,,1205 mm (47.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 525 MX Desert Racing,2004,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",510.4 ccm (31.14 cubic inches),"Single cylinder, four-stroke",,11.0:1,95.0 x 72.0 mm (3.7 x 2.8 inches),Carburettor,Liquid,6-speed,24.0°,64 mm (2.5 inches),,,Single disc,260 mm (10.2 inches),Single disc,118.7 kg (261.7 pounds),"925 mm (36.4 inches) If adjustable, lowest setting.",,385 mm (15.2 inches),1481 mm (58.3 inches),14.00 litres (3.70 US gallons),Orange,,,,Overhead Cams (OHC),Chain   (final drive),Chromium molybdenum,WP-USD 48 MA,,WP-PDS-shock absorber,,,525 mm (20.7 inches),,,,,,525 mm (20.7 inches),,,,,,,,"675 mm (26.6 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Yamaha Majesty 400,2004,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",395.0 ccm (24.10 cubic inches),"Single cylinder, four-stroke",36.3 Nm (3.7 kgf-m or 26.8 ft.lbs) @ 6000 RPM,10.6:1,83.0 x 73.0 mm (3.3 x 2.9 inches),Injection,Liquid,,,,120/80-14 ,150/70-13 ,Single disc,267 mm (10.5 inches),Single disc,197.0 kg (434.3 pounds),"750 mm (29.5 inches) If adjustable, lowest setting.",2230 mm (87.8 inches),120 mm (4.7 inches),1565 mm (61.6 inches),,,,33.5 HP (24.5  kW)) @ 7250 RPM,,,,,Telescopic,120 mm (4.7 inches),Unit swing,104 mm (4.1 inches),0.1702 HP/kg,780 mm (30.7 inches),,,,,,1380 mm (54.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda RC 51 - RTV 1000 R,2004,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"V2, four-stroke",,10.8:1,100.0 x 63.6 mm (3.9 x 2.5 inches),Injection,Liquid,6-speed,23.5°,95 mm (3.7 inches),120/70-ZR17 ,190/50-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,,"820 mm (32.3 inches) If adjustable, lowest setting.",,,1420 mm (55.9 inches),18.16 litres (4.80 US gallons),Red/Metallic Silver,,,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,"43.0mm inverted HMAS cartridge fork with spring-preload, rebound- and compression-damping adjustability.",130 mm (5.1 inches),"Pro-Link HMAS single shock with spring-preload, rebound- and compression-damping adjustability.",119 mm (4.7 inches),,,4.54 litres (1.20 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Discover DTSi,2004,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",10.8 Nm (1.1 kgf-m or 8.0 ft.lbs) @ 6500 RPM,,,Carburettor,Air,4-speed,,,,,,,,129.0 kg (284.4 pounds),,2030 mm (79.9 inches),,1305 mm (51.4 inches),,,,11.4 HP (8.3  kW)) @ 8000 RPM,,,Chain   (final drive),,,,,,0.0880 HP/kg,,,,,,,,12000,,,Wet Multidisc type,Stainless steel pipes,Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 1000 Tamburini,2004,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",113.0 Nm (11.5 kgf-m or 83.3 ft.lbs) @ 9200 RPM,13.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),,,6-speed,,,120/65-ZR17 ,190/50-ZR17 ,Double disc,,Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",,,1408 mm (55.4 inches),21.00 litres (5.55 US gallons),,,173.0 HP (126.3  kW)) @ 11750 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,118 mm (4.6 inches),,120 mm (4.7 inches),,,4.00 litres (1.06 US gallons),,,,,,,,,,,,198.0 kg (436.5 pounds),,,,,,,,,,,,,,,,,,,,,,,
Kymco Hipster 150,2004,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",149.4 ccm (9.12 cubic inches),"Single cylinder, four-stroke",12.3 Nm (1.3 kgf-m or 9.1 ft.lbs) @ 7500 RPM,,,,Air,5-speed,,,3.00-18 4PR ,130/90-15 4PR ,Single disc,,Expanding brake (drum brake),158.5 kg (349.4 pounds),,2247 mm (88.5 inches),,,,,,14.1 HP (10.3  kW)) @ 9500 RPM,,,,,,,,,0.0888 HP/kg,845 mm (33.3 inches),,,,,,1170 mm (46.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CR 250 R,2004,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,9.1:1,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor,Liquid,5-speed,29.5°,101 mm (4.0 inches),80/90-21 ,100/90-19 ,Single disc,240 mm (9.4 inches),Single disc,,"947 mm (37.3 inches) If adjustable, lowest setting.",,,1460 mm (57.5 inches),7.57 litres (2.00 US gallons),Red,Model id CR250R.,,4,,Chain   (final drive),,46mm inverted Kayaba cartridge fork with 18-position rebound- and 20-position compression-damping adjustability.,305 mm (12.0 inches),"Pro-Link Kayaba single-shock with spring-preload, 30-position rebound-damping adjustability, and compression-damping adjustment separated into low-speed (18 positions) and high-speed (2 turns).",318 mm (12.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Euro 350 Cruiser,2004,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",,9.5:1,79.0 x 71.2 mm (3.1 x 2.8 inches),Carburettor,Air,6-speed,,,120/80-16 ,140/90-15 ,Single disc,220 mm (8.7 inches),Single disc,140.0 kg (308.6 pounds),"730 mm (28.7 inches) If adjustable, lowest setting.",2210 mm (87.0 inches),240 mm (9.4 inches),1470 mm (57.9 inches),22.00 litres (5.81 US gallons),"Red/grey, Blue/grey",,,,Single Overhead Cams (SOHC),Chain   (final drive),Double craded frame,Hydraulic fork,120 mm (4.7 inches),Hydraulic mono shock absorbers with adjustable spring's setting,100 mm (3.9 inches),,,3.00 litres (0.79 US gallons),,,,,1090 mm (42.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL 1200 C Sportster Custom,2004,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1202.0 ccm (73.35 cubic inches),"V2, four-stroke",93.0 Nm (9.5 kgf-m or 68.6 ft.lbs) @ 3300 RPM,10.0:1,88.8 x 96.8 mm (3.5 x 3.8 inches),Carburettor,Air,5-speed,30.1°,119 mm (4.7 inches),90/90-21 ,150/80-16 ,Single disc,292 mm (11.5 inches),Single disc,255.0 kg (562.2 pounds),"668 mm (26.3 inches) If adjustable, lowest setting.",2275 mm (89.6 inches),112 mm (4.4 inches),1520 mm (59.8 inches),17.00 litres (4.49 US gallons),"Vivid black, brilliant silver, sierra red, impact blue, luxury blue, glacier white pearl, lava red sunglo, two-tone impact blue and vivid black, two-tone luxury teal and brilliant silver, two-tone sierra red and brilliant silver, two-tone smokey gold and","Black powder-coated engine with chrome covers; 17-liter fuel tank; laced front wheel, slotted chrome disc rear wheel; forward foot controls; chrome pull-back riser; chrome bullet headlight; high compression, high flow cylinder heads; performance cams",,2,,Belt   (final drive),,,,,,,,,,,,,,,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,
KTM 640 LC4 Adventure,2004,Enduro / offroad," 4.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",55.0 Nm (5.6 kgf-m or 40.6 ft.lbs) @ 5500 RPM,11.5:1,101.0 x 78.0 mm (4.0 x 3.1 inches),Carburettor,Liquid,5-speed,,,90/90-21 ,,Double disc,220 mm (8.7 inches),Single disc,158.0 kg (348.3 pounds),"945 mm (37.2 inches) If adjustable, lowest setting.",,315 mm (12.4 inches),1510 mm (59.4 inches),28.00 litres (7.40 US gallons),,Not available in the US.,53.6 HP (39.2  kW)) @ 7000 RPM,,Overhead Cams (OHC),Chain   (final drive),"chromium-molybdenum, power-coated",WP-USD 48 MA,,WP - Monoshock,,0.3395 HP/kg,640 mm (25.2 inches),,,,,,640 mm (25.2 inches),,,,,,,,"675 mm (26.6 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Sherco CityCorp 125 4T Enduro,2004,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.7 ccm (7.55 cubic inches),"Single cylinder, four-stroke",,10.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,Air,6-speed,,,,,Single disc,,Single disc,107.0 kg (235.9 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",,280 mm (11.0 inches),,,Grey,Yamaha engine,,,,Chain   (final drive),Built from Chrome-molybdenum forming a single structure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym HD 200,2004,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",172.0 ccm (10.50 cubic inches),"Single cylinder, four-stroke",,,61.0 x 58.6 mm (2.4 x 2.3 inches),,Liquid,,,,100/80-16 ,120/80-16 ,Single disc,130 mm (5.1 inches),Single disc,,,2064 mm (81.3 inches),,1385 mm (54.5 inches),,,,15.5 HP (11.3  kW)),4,,,Pipe under bone,,,,,,706 mm (27.8 inches),,108.0 km/h (67.1 mph),,,,1165 mm (45.9 inches),,,,,,,,"807 mm (31.8 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1500 Classic Tourer Fi,2004,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"Twin, four-stroke",113.0 Nm (11.5 kgf-m or 83.3 ft.lbs),,,Injection,Liquid,5-speed,,,,,,,,337.0 kg (743.0 pounds),,,,,,Red,,65.0 HP (47.4  kW)),2,Single Overhead Cams (SOHC),,,,,,,0.1929 HP/kg,,,160.0 km/h (99.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
