Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Gearbox,Transmission type,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Oil capacity,Color options,Starter,Cooling system,Dry weight,Electrical,Top speed,Light,Factory warranty,Comments,Engine details,Valves per cylinder,Exhaust system,Power/weight ratio,Seat,Instruments,Carrying capacity,Alternate seat height,Engine oil,Brake fluid,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Max RPM,Coolant,Chain size,Chain links,Sprockets,"60-140 km/h (37-87 mph), highest gear",1/4 mile (0.4 km),Battery,Oil filter,Belt teeth,Belt width,Pulley teeth
Harley-Davidson Sport Glide,2020,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1746.0 ccm (106.54 cubic inches),"V2, four-stroke",86.0 HP (62.8  kW)) @ 5020 RPM,145.0 Nm (14.8 kgf-m or 107.0 ft.lbs) @ 3000 RPM,10.0:1,100.0 x 111.1 mm (3.9 x 4.4 inches),Injection. Electronic Sequential Port Fuel Injection,Double Overhead Cams/Twin Cam (DOHC),,,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,"Primary chain, 34/46 ratio",5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Tubular steel.,30.0°,150 mm (5.9 inches),Telescopic fork,130 mm (5.1 inches),Twin shocks,86 mm (3.4 inches),130/70-B18 ,180/70-B16 ,Single disc. 4-piston. ABS.,292 mm (11.5 inches),Single disc. 2-piston. ABS.,,317.0 kg (698.9 pounds),"653 mm (25.7 inches) If adjustable, lowest setting.",,2324 mm (91.5 inches),,120 mm (4.7 inches),1625 mm (64.0 inches),18.93 litres (5.00 US gallons),,4.70 litres (4.97 US quarts),"Vivid Black, Midnight Blue, River Rock Grey Denim, Performance Orange, Tahitian Teal, Scorched Orange/Silver Flux",Electric,Air,304.0 kg (670.2 pounds),,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system (optional), 6-speed, low fuel warnings",,,Milwaukee-Eight® 107,,,0.2829 HP/kg,,,,"673 mm (26.5 inches) If adjustable, highest setting.",SAE 20W-50 Synthetic,DOT 4,"NGK CR9E, NGK CR9EIX",850  RPM,,,43 mm (1.7 inches),,,,,,,,,,YIX30L,HiFloFiltro - HF171CRC,134,24 mm,32/66 (front/rear)
Izuka KL125 Advance,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",6.5 HP (4.7  kW)) @ 8000 RPM,8.7 Nm (0.9 kgf-m or 6.4 ft.lbs) @ 6000 RPM,9.2:1,53.5 x 55.5 mm (2.1 x 2.2 inches),Carburettor,,CDI,,Automatic,Belt   (final drive),,,,,,,,,Telescopic fork,,,,2.5-17 ,2.75-17 ,Single disc,,Single disc,,100.0 kg (220.5 pounds),"750 mm (29.5 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),1940 mm (76.4 inches),705 mm (27.8 inches),190 mm (7.5 inches),1255 mm (49.4 inches),3.70 litres (0.98 US gallons),,,Brown,Electric & kick,Air,,,80.0 km/h (49.7 mph),,,Izuka scooters are sold in Mexico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vent Derapage 125,2020,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",,,,52.0 x 58.6 mm (2.0 x 2.3 inches),Carburettor. Keihin CVK flat slide Ø 30mm,Single Overhead Cams (SOHC),,,6-speed,Chain   (final drive),"Oil bath, multiplate",,,,,Semi-double cradle; steel twinspar,,,USD Hydraulic   41 mm - R16V adjustable in preload and rebound,,Single shock absorber adjustable,,110/70-17 ,140/70-17 ,Double disc. Dual floating caliper. Wave disc. ,220 mm (8.7 inches),Single disc. Floating caliper. Wave disc. ,,,"850 mm (33.5 inches) If adjustable, lowest setting.",,2080 mm (81.9 inches),800 mm (31.5 inches),283 mm (11.1 inches),1395 mm (54.9 inches),6.00 litres (1.59 US gallons),1.50 litres (0.40 US gallons),,"Red, blue, green, white, yellow",Electric,Liquid,108.5 kg (239.2 pounds),,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1200 Custom,2020,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1202.0 ccm (73.35 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6000 RPM,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 3750 RPM,10.0:1,88.9 x 96.8 mm (3.5 x 3.8 inches),Injection. Electronic Sequential Port Fuel Injection (ESPFI),,,Dry sump,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,,5.23 litres/100 km (19.1 km/l or 44.98 mpg),121.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,30.0°,107 mm (4.2 inches),Telescopic fork,,Twin shocks,,130/90-B16 ,150/80-B16 ,Single disc. Dual piston. ABS.,,Single disc. Dual piston. ABS.,Black Steel Laced,268.0 kg (590.8 pounds),"725 mm (28.5 inches) If adjustable, lowest setting.",,2225 mm (87.6 inches),,105 mm (4.1 inches),1530 mm (60.2 inches),17.00 litres (4.49 US gallons),,2.60 litres (2.75 US quarts),"Midnight Blue, River Rock Grey, River Rock Grey/Vivid Black, Billiard Red/Vivid Black",Electric,Air,255.0 kg (562.2 pounds),,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, low fuel warning, low battery, security system (optional)",,Alarm.,Evolution®,,"Chrome, staggered, shorty exhaust with dual mufflers",0.2627 HP/kg,,"Handlebar-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, low fuel warning light, low oil pressure light, engine diagnostics readout, LED indicator lights",,,,,,,,,,,,,,,,,,,,,,,
Otto Bike MCR S Mid-Motor,2020,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",,Electric,14.1 HP (10.3  kW)),30.0 Nm (3.1 kgf-m or 22.1 ft.lbs),,,,,,,,Belt   (final drive),,,,,,,26.7°,,35 mm upside-down fork,,"Monoshock, piggyback with adjustable spring preload and rebound damping",,110/80-14 ,140/70-14 ,"Single disc. Fixed 32mm four-piston caliper, Brembo.",200 mm (7.9 inches),"Single disc. Fixed 32mm two-piston caliper, Brembo.",,195.0 kg (429.9 pounds),"805 mm (31.7 inches) If adjustable, lowest setting.",1117 mm (44.0 inches),1924 mm (75.7 inches),920 mm (36.2 inches),,1370 mm (53.9 inches),,,,White,Electric,Liquid,,,140.0 km/h (87.0 mph),,"2 years or 15,000 km",Range 230km. 139.8 Ah battery. 4.5 hour charging. Made in Taiwan.,Central Motor,,,,,"TFT, full-color",,,,,,,,,,,,,,,,,,,,,,,
Italika FT200 TS,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,196.0 ccm (11.96 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,16.0 Nm (1.6 kgf-m or 11.8 ft.lbs) @ 5500 RPM,,,Injection. CDI,,,,,Chain   (final drive),,,,,,,,,Telescopic ,,Dual shocks,,2.75-18 ,3.25-18 ,Single disc,,Expanding brake (drum brake),,,"773 mm (30.4 inches) If adjustable, lowest setting.",1060 mm (41.7 inches),2010 mm (79.1 inches),755 mm (29.7 inches),,,15.50 litres (4.10 US gallons),,1.00 litres (1.06 US quarts),Black/Yellow,Electric & kick,Air,,,110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli TNT 300,2020,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",300.0 ccm (18.31 cubic inches),"V2, four-stroke",32.0 HP (23.4  kW)) @ 10500 RPM,25.0 Nm (2.5 kgf-m or 18.4 ft.lbs) @ 6500 RPM,12.0:1,61.0 x 42.7 mm (2.4 x 1.7 inches),Injection. Electronic fuel injection with 38 mm throttle body,Double Overhead Cams/Twin Cam (DOHC),TLI,Pressure splash lubrication,6-speed,Chain   (final drive),Wet multi-plate,,,,"DOT, CARB and EPA",Steel trellis upper with cast lower,,,41 mm Upside-down forks,122 mm (4.8 inches),Rear swing arm with side mounted shock absorber with adjustable spring pre-load,132 mm (5.2 inches),110/70-17 ,140/70-17 ,Double disc. Floating discs. Four-piston calipers. ,240 mm (9.4 inches),Single disc. Two-piston calipers. ,Aluminum alloy,196.0 kg (432.1 pounds),"795 mm (31.3 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2125 mm (83.7 inches),800 mm (31.5 inches),140 mm (5.5 inches),1405 mm (55.3 inches),16.00 litres (4.23 US gallons),3.00 litres (0.79 US gallons),,"White/red, Black/red, Green/black, Red/black",Electric,Liquid,183.0 kg (403.4 pounds),,,,,,,4,,0.1749 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF450RWE,2020,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.7 ccm (27.44 cubic inches),"Single cylinder, four-stroke",53.0 HP (38.7  kW)) @ 9000 RPM,48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 7000 RPM,13.5:1,96.0 x 62.1 mm (3.8 x 2.4 inches),"Injection. PGM-FI, 46mm downdraft throttle body",Single Overhead Cams (SOHC),DC-CDI,,5-speed,Chain   (final drive),Multi plate wet,#520 Chain; 13T/49T,,,,Aluminium twin tube,27.2°,116 mm (4.6 inches),49mm inverted Showa fork with rebound and compression damping adjustability.,305 mm (12.0 inches),"Pro-Link® Showa single shock with adjustable spring preload, rebound and compression damping adjustability.",312 mm (12.3 inches),80/100-21 ,120/80-19 ,Single disc. Hydraulic. Two-piston calipers. ,240 mm (9.4 inches),Single disc. Hydraulic. Single-piston caliper. ,Dunlop MX3S tires,112.0 kg (247.0 pounds),"960 mm (37.8 inches) If adjustable, lowest setting.",1271 mm (50.0 inches),2191 mm (86.3 inches),827 mm (32.6 inches),330 mm (13.0 inches),1481 mm (58.3 inches),6.28 litres (1.66 US gallons),,1.80 litres (1.9 US quarts),Red,Electric,Liquid,,12V 6Ah (10HR) battery.,170.0 km/h (105.6 mph),,,Model id: CRF450R.,"38mm intake valve, 31mm exhaust",4,Yoshimura ,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Scrambler Desert Sled,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,803.0 ccm (49.00 cubic inches),"V2, four-stroke",73.0 HP (53.3  kW)) @ 8250 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 5750 RPM,11.0:1,88.0 x 66.0 mm (3.5 x 2.6 inches),"Injection. Electronic fuel injection, 50 mm throttle body",Desmodromic valve control,,,6-speed,Chain   (final drive),APTC wet multiplate with mechanical control,,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,Tubular steel Trellis ,24.0°,112 mm (4.4 inches),46mm fully adjustable usd forks,200 mm (7.9 inches),"Kayaba rear shock, pre-load and rebound adjustable. Aluminium double-sided swingarm",200 mm (7.9 inches),120/70-R19 ,170/60-R17 ,Single disc. ABS. Four-piston calipers. ,245 mm (9.6 inches),Single disc. ABS. Floating disc. Single-piston caliper. ,Spoked aluminium wheel,209.0 kg (460.8 pounds),"840 mm (33.1 inches) If adjustable, lowest setting.",1213 mm (47.8 inches),2200 mm (86.6 inches),940 mm (37.0 inches),,1505 mm (59.3 inches),13.50 litres (3.57 US gallons),,,"White Mirage/Red

",Electric,Air,193.0 kg (425.5 pounds),,,,24 months,,,2,"Stainless steel muffler with catalytic converter and 2 lambda probes, aluminium tail pipes ",0.3782 HP/kg,,,,"860 mm (33.9 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,
Indian Chieftain Dark Horse,2020,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1811.0 ccm (110.51 cubic inches),"V2, four-stroke",,150.0 Nm (15.3 kgf-m or 110.6 ft.lbs) @ 3000 RPM,9.5:1,103.0 x 113.0 mm (4.1 x 4.4 inches),Injection. Closed Loop Sequential Port Fuel Injection,,,,6-speed,Belt   (final drive),"Wet, Multi-Plate",,,,,Cast aluminium,25.0°,150 mm (5.9 inches),Telescopic forks with air adjustment,119 mm (4.7 inches),Single shock,114 mm (4.5 inches),130/60-B19 ,180/60-R16 ,Double disc. ABS. Floating discs. 4 piston caliper.,300 mm (11.8 inches),Single disc. ABS. Floating disc. 2-piston caliper.,Cast aluminium wheels,376.0 kg (828.9 pounds),"650 mm (25.6 inches) If adjustable, lowest setting.",1385 mm (54.5 inches),2506 mm (98.7 inches),1000 mm (39.4 inches),130 mm (5.1 inches),1668 mm (65.7 inches),20.80 litres (5.50 US gallons),,,"Thunder Black Smoke, Ruby Smoke, Titanium Smoke",Electric,Air,362.0 kg (798.1 pounds),,,LED headlights,2 years,,Thunder Stroke® 111 engine,,Split dual exhaust with cross-over,,Dual leather seat,"Fairing mounted instrument cluster featuring analog speedometer and tachometer, with fuel gauge, range, odometer and current gear. ",Hard saddle bags.,,,,,,,,,,,,,,,,,,,,,,
Hamachi KRS 150,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.4 ccm (9.12 cubic inches),"Single cylinder, four-stroke",12.3 HP (9.0  kW)) @ 8500 RPM,,,62.0 x 49.5 mm (2.4 x 1.9 inches),,,CDI,,,,,,,,,,,,"Telescopic fork, hydraulic",,Double hydraulic shock absorber,,2.75-18 ,3-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,1040 mm (40.9 inches),2000 mm (78.7 inches),770 mm (30.3 inches),150 mm (5.9 inches),1280 mm (50.4 inches),,,,"Black, Red",Electric & kick,Air,106.0 kg (233.7 pounds),,,,,,,,,0.1164 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini Corsaro  ZT,2020,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1187.0 ccm (72.43 cubic inches),"V2, four-stroke",136.7 HP (99.7  kW)) @ 8500 RPM,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 6750 RPM,11.9:1,107.0 x 66.0 mm (4.2 x 2.6 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),,,6-speed,Chain   (final drive),Multiple-plate clutch in oil bath with antiskipping system and radial master-cylinder,,,,Euro 4,High-strength steel tube trellis ,24.8°,103 mm (4.1 inches),Upside down fork 46mm,135 mm (5.3 inches),Monoshock,120 mm (4.7 inches),120/70-R17 ,190/55-R17 ,"Double disc. Brembo, 4-piston caliper",220 mm (8.7 inches),Single disc. Brembo,Pirelli Diablo Rosso ,,"860 mm (33.9 inches) If adjustable, lowest setting.",,2070 mm (81.5 inches),810 mm (31.9 inches),150 mm (5.9 inches),1450 mm (57.1 inches),21.00 litres (5.55 US gallons),4.50 litres (1.19 US gallons),,White/Black,Electric,Liquid,191.0 kg (421.1 pounds),,,Dual LED head lights,3 years.,,87 degree longitudinal V-twin. Moto Morini Bialbero CorsaCorta (DOHC - Short Stroke).,4,,0.7154 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Neander Turbo Diesel 1400,2020,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1340.0 ccm (81.77 cubic inches),Diesel,112.0 HP (81.8  kW)) @ 4200 RPM,214.0 Nm (21.8 kgf-m or 157.8 ft.lbs) @ 2600 RPM,,105.0 x 77.6 mm (4.1 x 3.1 inches),Turbo,,,,6-speed,Belt   (final drive),Multidisk,,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Telescopic fork,,"White Power shocks, adjustable",,,,Single disc. Bremo,,Single disc. Bremo,,,,,,,,,,,,Black,Electric,Oil & air,,,220.0 km/h (136.7 mph),,,,,4,,,,,,,,,,,,,,4.00 seconds,,,,,,,,,,,,,
AJS Digita 50,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",2.0 HP (1.5  kW)) @ 7500 RPM,,,39.0 x 41.5 mm (1.5 x 1.6 inches),Carburettor,,,,Automatic,Belt   (final drive),,Automatic Twist and Go,,,Euro 4,Steel,,,Telescopic fork,,Swing arm,,3.50-10 ,3.50-10 ,Single disc,,Expanding brake (drum brake),,,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,1220 mm (48.0 inches),5.50 litres (1.45 US gallons),,,"Blue, Red",Electric & kick,Air,78.0 kg (172.0 pounds),12V 6Ah battery.,49.9 km/h (31.0 mph),,12 months parts and labour,UK brand.,,,,0.0258 HP/kg,,,Lockable storage space under the seat.. Rear rack.,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Concours 14 ABS,2020,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1352.0 ccm (82.50 cubic inches),"In-line four, four-stroke",155.0 HP (113.1  kW)) @ 5500 RPM,136.0 Nm (13.9 kgf-m or 100.3 ft.lbs) @ 6200 RPM,10.7:1,84.0 x 61.0 mm (3.3 x 2.4 inches),Injection. DFI with four 40mm throttle bodies,Double Overhead Cams/Twin Cam (DOHC),TCBI with Digital Advance,,6-speed,Shaft drive (cardan)   (final drive),,Tetra-Lever shaft drive,,,,Monocoque Aluminum,26.0°,112 mm (4.4 inches),"43mm inverted, telescopic fork with adjustable rebound damping and spring preload / 4.4 in.",,Tetra-Lever with stepless rebound damping adjustment and remote spring preload adjuster / 5.4 in.,,120/70-ZR17 ,190/50-ZR17 ,Double disc. Optional ABS. Floating discs. Four-piston calipers. ,270 mm (10.6 inches),Single disc. Optional ABS. ,,313.0 kg (690.0 pounds),"815 mm (32.1 inches) If adjustable, lowest setting.",1290 mm (50.8 inches),2230 mm (87.8 inches),1001 mm (39.4 inches),124 mm (4.9 inches),1519 mm (59.8 inches),21.95 litres (5.80 US gallons),,,Metallic Matte Fusion Silver/Metallic Spark Black,Electric,Liquid,,,,,36 Month Limited Warranty,,VVT,4,,,,,Hard saddle bags.,,,,,,,,,,,,,,,,,,,,,,
Paton S1-R Lightweight Race Edition,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",,,10.8:1,83.0 x 60.0 mm (3.3 x 2.4 inches),"Injection. Keihin, 38mmx2",,,Dry sump,,Chain   (final drive),Wet multi-disc clutch,,,,,,,,43mm  upside down forks.,120 mm (4.7 inches),Ohlins ,130 mm (5.1 inches),120/70-17 ,180/55-17 ,Double disc,220 mm (8.7 inches),Single disc,,,"810 mm (31.9 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),1980 mm (78.0 inches),680 mm (26.8 inches),,1390 mm (54.7 inches),16.00 litres (4.23 US gallons),,,Green,Electric,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Thruxton 1200 R,2020,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1200.0 ccm (73.22 cubic inches),"Twin, four-stroke",97.0 HP (70.8  kW)) @ 6750 RPM,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 4950 RPM,11.0:1,97.6 x 80.0 mm (3.8 x 3.1 inches),Injection. Multipoint sequential electronic fuel injection,Single Overhead Cams (SOHC),,,6-speed,Chain   (final drive),"Wet, multi-plate assist clutch",O ring chain,4.60 litres/100 km (21.7 km/l or 51.13 mpg),106.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Tubular steel cradle,22.7°,91 mm (3.6 inches),Kyb 41mm cartrugde forks,120 mm (4.7 inches),KYB twin shocks with adjustable preload,120 mm (4.7 inches),120/70-ZR17 ,160/60-ZR17 ,Double disc. ABS.  Brembo. 4-piston radial monobloc calipers,220 mm (8.7 inches),Single disc. ABS. Nissin. 2-piston floating caliper,"32-spoke, aluminum rims",,"810 mm (31.9 inches) If adjustable, lowest setting.",1030 mm (40.6 inches),2150 mm (84.6 inches),745 mm (29.3 inches),,1415 mm (55.7 inches),14.50 litres (3.83 US gallons),,4.50 litres (4.76 US quarts),"Pure White, Competition Green, Siver Ice",Electric,Air,206.0 kg (454.2 pounds),,,,2 year unlimited milage,,270º firing interval,4,Chromed 2 into 2 exhaust system with twin chrome silencers,0.4709 HP/kg,Single bullet seat set-up with painted seat cowl,"LCD multi-functional instrument pack with analogue speedometer, analogue tachometer, gear position indicator, fuel gauge",,,,,,,,,,,,,,,,,,,,,,,
Yamaha eVino,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,1.6 HP (1.2  kW)),,,,,,,,,,,,,,,,,,Telescopic fork,,Dual shocks,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,,Red/white,Electric,Air,68.0 kg (149.9 pounds),,,,,LiFePo4 battery. 3 hour charge. 58 km range.,,,,0.0237 HP/kg,,,Front basket,,,,,,,,,,,,,,,,,,,,,,
Qooder QVE,2020,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,45.6 HP (33.3  kW)),106.0 Nm (10.8 kgf-m or 78.2 ft.lbs),,,,,,,Automatic,Belt   (final drive),CVT,Rear single wheel drive,,,,Steel tubes,,,Double electronic HTSTM (Hydraulic Tilting System),,Dual hydraulic shock absorbers,,110/80-R14 ,140/70-R15 ,Single disc. One disk per wheel,256 mm (10.1 inches),Single disc,2 front tilting wheels,227.0 kg (500.4 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",1310 mm (51.6 inches),2270 mm (89.4 inches),840 mm (33.1 inches),,1535 mm (60.4 inches),13.20 litres (3.49 US gallons),,,White,Electric,,,,,LED headlight,,3 tilting wheels. Z-Force® Li-Ion 7.2kWh battery. Range 106 km. Charging 5.2 hour.,Z-Force® brushless motor,,,,Dual seat,LCD,,,,,,,,,,,,,,,,,,,,,,,
KTM 1290 Super Adventure R,2020,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1301.0 ccm (79.39 cubic inches),"V2, four-stroke",158.2 HP (115.5  kW)),140.0 Nm (14.3 kgf-m or 103.3 ft.lbs),,108.0 x 71.0 mm (4.3 x 2.8 inches),Injection,,"Keihin EMS with RBW and cruise control, double ignition",Forced oil lubrication with 3 pumps,6-speed,Chain   (final drive),"PASC slipper clutch, hydraulically actuated",5/8  x  5/16 X Ring. Primary drive: 40:76.,5.52 litres/100 km (18.1 km/l or 42.61 mpg),128.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Chromium-Molybdenum steel trellis frame, powder coated",26.0°,,WP USD Ø 48 mm,220 mm (8.7 inches),WP Xplor PDS shock absorber,220 mm (8.7 inches),90/90-21 ,150/70-18 ,Double disc. ABS. Four-piston calipers. Radially mounted. ,267 mm (10.5 inches),Single disc. ABS. Two-piston calipers. ,Wire psoked,,"890 mm (35.0 inches) If adjustable, lowest setting.",,,,250 mm (9.8 inches),1580 mm (62.2 inches),23.00 litres (6.08 US gallons),,,White/orange/black,Electric,Liquid,217.0 kg (478.4 pounds),,,,,,75° V arrangement,,,0.7292 HP/kg,,,,"875 mm (34.4 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,
Honda Aviator,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,109.0 ccm (6.65 cubic inches),"Single cylinder, four-stroke",8.0 HP (5.8  kW)) @ 8000 RPM,,,,,Overhead Cams (OHC),,,,,,,,,,High Rigidity Underbone Type,,,Telescopic fork ,,Unit swing,,90/90-12 ,90/100-10 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),,,"790 mm (31.1 inches) If adjustable, lowest setting.",1162 mm (45.7 inches),1802 mm (70.9 inches),697 mm (27.4 inches),,1256 mm (49.4 inches),,,,Burgundy/Black,Electric & kick,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
