Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Max RPM,Fuel system,Ignition,Lubrication system,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Dry weight,Seat height,Overall height,Overall length,Overall width,Ground clearance,Color options,Starter,Torque,Clutch,Rake (fork angle),Trail,Power/weight ratio,Fuel consumption,Greenhouse gases,Exhaust system,Comments,Wheelbase,Seat,Instruments,Reserve fuel capacity,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Modifications compared to previous model,Oil capacity,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size
Yamaha XT 350,1989,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,135.0 km/h (83.9 mph),9.0:1,86.0 x 59.6 mm (3.4 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-21 ,110/80-18 ,Single disc,Expanding brake,150.0 kg (330.7 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 (reduced effect),1989,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 9250 RPM,177.0 km/h (110.0 mph),10.0:1,58.5 x 55.7 mm (2.3 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),90/90-18 ,110/90-18 ,Dual disc,Single disc,212.0 kg (467.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 600 C,1989,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",41.0 HP (29.9  kW)) @ 6500 RPM,143.0 km/h (88.9 mph),9.2:1,75.0 x 66.0 mm (3.0 x 2.6 inches),3,Overhead Cams (OHC),Liquid,4-speed,Chain   (final drive),100/90-19 ,170/80-15 ,Single disc,Expanding brake,212.0 kg (467.4 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLTC 1340 Tour Glide Classic (reduced effect),1989,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1337.0 ccm (81.58 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 4800 RPM,,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,360.0 kg (793.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZXR 750,1989,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",107.0 HP (78.1  kW)) @ 10500 RPM,,10.8:1,71.0 x 47.3 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Dual disc,Single disc,231.0 kg (509.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Incas 600 LC 4 (reduced effect),1989,Trial,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,553.0 ccm (33.74 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,115.0 km/h (71.5 mph),9.5:1,95.0 x 78.0 mm (3.7 x 3.1 inches),4,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,120/80-18 ,Single disc,Single disc,140.0 kg (308.6 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico Enduro 250,1989,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5400 RPM,100.0 km/h (62.1 mph),15.5:1,67.0 x 70.0 mm (2.6 x 2.8 inches),,Membrane & variable discharge openings,Liquid,5-speed,Chain   (final drive),3 00-21 ,4.10-18 ,Single disc,Single disc,105.0 kg (231.5 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZXR 750 (reduced effect),1989,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 10500 RPM,231.0 km/h (143.5 mph),10.8:1,71.0 x 47.3 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Dual disc,Single disc,231.0 kg (509.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera RC600,1989,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",600.0 ccm (36.61 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)),144.8 km/h (90.0 mph),,98.0 x 74.0 mm (3.9 x 2.9 inches),,,Liquid,,,90/90-21 ,130/80-17 ,Single disc. front floating disc with hydraulic double piston,Single disc. floating disc with hydraulic single piston,,12.00 litres (3.17 US gallons),,Carburettor. TEIKEI,electronic,,TUBULAR STEEL SINGLE CRADLE,Marzocchi hydraulic forks,,Boge monodamper power drive,,220 mm (8.7 inches),141.0 kg (310.9 pounds),"890 mm (35.0 inches) If adjustable, lowest setting.",1230 mm (48.4 inches),2230 mm (87.8 inches),850 mm (33.5 inches),,Red,Electric & kick,,wet multi plate,,,0.3404 HP/kg,,,,i believe the 1989 model was only available in red,1510 mm (59.4 inches),,,2.00 litres (0.53 US gallons),,,"This was the first model made by Gilera for entry into the Paris Dakar (they won this class two years running)
the RC600R followed which then became (after modifications) the Nord West",,,,,,,,,,
Kawasaki GPX 600 R (reduced effect),1989,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 10500 RPM,183.0 km/h (113.7 mph),11.7:1,60.0 x 52.4 mm (2.4 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/80-16 ,130/90-16 ,Dual disc,Single disc,206.0 kg (454.2 pounds),19.50 litres (5.15 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic Caballero,1989,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,80.0 ccm (4.88 cubic inches),"In-line six, two-stroke",10.7 HP (7.8  kW)) @ 8000 RPM,,,,,,Liquid,,Chain   (final drive),,,Sealed multidisc,,,,,Carburettor. dellorto,,,,,,,,,77.0 kg (169.8 pounds),,,,,,Blue,Kick,,,,,0.1392 HP/kg,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,13.00 seconds,,,,,,,,,,,,
Malaguti 125 YLC,1989,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7250 RPM,125.0 km/h (77.7 mph),7.2:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Membrane,Liquid,6-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Single disc,Expanding brake,110.0 kg (242.5 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLST 1340 Heritage Softail,1989,Custom / cruiser," 4.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5000 RPM,149.0 km/h (92.6 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT 90-16 ,MT 90-16 ,Single disc,Single disc,314.0 kg (692.3 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XBR 500 (reduced effect),1989,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,145.0 km/h (90.1 mph),8.9:1,92.0 x 75.0 mm (3.6 x 3.0 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Single disc,Expanding brake,182.0 kg (401.2 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TZR 250,1989,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Twin, two-stroke",50.0 HP (36.5  kW)) @ 10000 RPM,190.0 km/h (118.1 mph),5.9:1,56.4 x 50.0 mm (2.2 x 2.0 inches),,Membrane & power valve,Liquid,6-speed,Chain   (final drive),100/80-17 ,120/80-17 ,Single disc,Single disc,150.0 kg (330.7 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXLR 1340 Low Rider Custom,1989,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5000 RPM,165.0 km/h (102.5 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MH 90-21 ,MT 90-16 ,Single disc,Single disc,280.0 kg (617.3 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 GS,1989,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,150.0 km/h (93.2 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,225.0 kg (496.0 pounds),26.00 litres (6.87 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 400 RR Fireblade,1989,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"In-line four, four-stroke",59.0 HP (43.1  kW)) @ 12000 RPM,209.2 km/h (130.0 mph),,,,,Liquid,6-speed,Chain   (final drive),,,Double disc,Double disc,,13.00 litres (3.43 US gallons),14000,Carburettor,,,Steel cradle,,,,,,,,,,,,,Electric,,,,,,,,4-1 steel,Can still keep up with the big boys on the twisties!,,,,,,,,,,,,,,,,,
