Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Torque,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Compression,Bore x stroke,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Front percentage of weight,Seat height,Starter,Comments,Valves per cylinder,Fuel system,Alternate seat height,Fuel control,Ignition,Rake (fork angle),Trail,Front suspension,Rear suspension,Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Frame type,Color options,Lubrication system,Clutch,Driveline,Overall length,Ground clearance,Electrical,Chain links,Sprockets,Max RPM,Overall height,Overall width,Reserve fuel capacity,Exhaust system,Modifications compared to previous model,1/4 mile (0.4 km),Engine details,Emission details,Carrying capacity,Rear percentage of weight,Wheels,Oil filter,Battery,Belt teeth,Belt width,Pulley teeth
BMW F 650,1999,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6500 RPM,160.0 km/h (99.4 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,,,1480 mm (58.3 inches),17.50 litres (4.62 US gallons),57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5200 RPM,5.20 seconds,10.60 seconds,9.7:1,100.0 x 83.0 mm (3.9 x 3.3 inches),5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,170 mm (6.7 inches),165 mm (6.5 inches),100/90-19 ,130/80-17 ,240 mm (9.4 inches),199.0 kg (438.7 pounds),,"820 mm (32.3 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF 1000 R Thunderace,1999,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1002.0 ccm (61.14 cubic inches),"In-line four, four-stroke",145.0 HP (105.8  kW)) @ 10000 RPM,255.0 km/h (158.4 mph),Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,,,1435 mm (56.5 inches),19.00 litres (5.02 US gallons),108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 8500 RPM,3.10 seconds,8.00 seconds,11.5:1,75.5 x 56.0 mm (3.0 x 2.2 inches),6.80 litres/100 km (14.7 km/l or 34.59 mpg),157.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,245 mm (9.6 inches),229.0 kg (504.9 pounds),50.0,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 1100 C3 Shadow,1999,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 4750 RPM,155.0 km/h (96.3 mph),Liquid,5-speed,Shaft drive (cardan)   (final drive),Single disc,Single disc,,,1678 mm (66.1 inches),16.50 litres (4.36 US gallons),93.0 Nm (9.5 kgf-m or 68.6 ft.lbs) @ 2500 RPM,6.80 seconds,22.20 seconds,8.0:1,87.5 x 91.4 mm (3.4 x 3.6 inches),6.70 litres/100 km (14.9 km/l or 35.11 mpg),155.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,126 mm (5.0 inches),95 mm (3.7 inches),140/80-17 ,170/80-15 ,276 mm (10.9 inches),300.0 kg (661.4 pounds),46.0,"725 mm (28.5 inches) If adjustable, lowest setting.",Electric,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Springer Softail,1999,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1340.0 ccm (81.77 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 5000 RPM,150.0 km/h (93.2 mph),Air,5-speed,Belt   (final drive),,,284.0 kg (626.1 pounds),0.1972 HP/kg,1636 mm (64.4 inches),15.90 litres (4.20 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota Supermono Biposto,1999,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6500 RPM,183.0 km/h (113.7 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,,,1340 mm (52.8 inches),16.00 litres (4.23 US gallons),60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 6000 RPM,5.40 seconds,13.90 seconds,9.7:1,100.0 x 83.0 mm (3.9 x 3.3 inches),6.10 litres/100 km (16.4 km/l or 38.56 mpg),141.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,43 mm (1.7 inches),,120/70-ZR17 ,160/60-ZR17 ,230 mm (9.1 inches),176.0 kg (388.0 pounds),50.0,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 1100 Virago,1999,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1063.0 ccm (64.86 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 5600 RPM,180.0 km/h (111.8 mph),Air,5-speed,Shaft drive (cardan)   (final drive),Double disc,Expanding brake,221.0 kg (487.2 pounds),0.2805 HP/kg,1525 mm (60.0 inches),17.00 litres (4.49 US gallons),,,,8.3:1,95.0 x 75.0 mm (3.7 x 3.0 inches),,,150 mm (5.9 inches),97 mm (3.8 inches),100/90-19 ,140/90-15 ,282 mm (11.1 inches),,,"715 mm (28.1 inches) If adjustable, lowest setting.",Electric,,,Carburettor,,,Digital ,32.0°,129 mm (5.1 inches),Telescopic fork,Swingarm,,,,,,,,,,Pressed steel backbone,,Wet sump,,,2285 mm (90.0 inches),,,,,,1190 mm (46.9 inches),840 mm (33.1 inches),,,,,,,,,Cast 5-spoke aluminium alloy,,,,,
Highland 950 V2 Outback,1999,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",936.0 ccm (57.11 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 5000 RPM,195.0 km/h (121.2 mph),Liquid,6-speed,Chain   (final drive),Single disc,Single disc,145.0 kg (319.7 pounds),0.4828 HP/kg,1530 mm (60.2 inches),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-9R Ninja,1999,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",899.0 ccm (54.86 cubic inches),"In-line four, four-stroke",143.0 HP (104.4  kW)) @ 11000 RPM,272.0 km/h (169.0 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1415 mm (55.7 inches),19.00 litres (5.02 US gallons),101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 9000 RPM,2.90 seconds,7.20 seconds,11.5:1,75.0 x 50.9 mm (3.0 x 2.0 inches),6.60 litres/100 km (15.2 km/l or 35.64 mpg),153.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,220 mm (8.7 inches),213.0 kg (469.6 pounds),50.5,"815 mm (32.1 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM SX 125,1999,Enduro / offroad," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,Liquid,,Chain   (final drive),Single disc,Single disc,91.0 kg (200.6 pounds),,1461 mm (57.5 inches),7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Low Rider,1999,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 5400 RPM,165.0 km/h (102.5 mph),Air,5-speed,Belt   (final drive),Double disc. Four-piston calipers. ,Single disc. Floating disc. Two-piston calipers. ,279.0 kg (615.1 pounds),0.2437 HP/kg,1664 mm (65.5 inches),18.50 litres (4.89 US gallons),,,,9.6:1,95.3 x 101.6 mm (3.8 x 4.0 inches),,,,,100/90-H19 ,160/70-V17 ,292 mm (11.5 inches),,,"640 mm (25.2 inches) If adjustable, lowest setting.",Electric,,2,Injection. Electronic Sequential Port Fuel Injection (ESPFI),,Overhead Valves (OHV),"Single-fire, non-wasted, map-controlled spark ignition",29.0°,114 mm (4.5 inches),39 mm with polished aluminum fork triple clamp and dual-rate springs,Coil over dual shock,2.80 litres (2.96 US quarts),SAE 20W-50,DOT 5 Silicone,,"NGK DCPR7E, NGK DCPR7EIX",1000  RPM,29 PSI (2 Bar or 200 kPa),36 PSI (2.5 Bar or 250 kPa),39 mm (1.5 inches),"Mild steel, tubular frame; rectangular section backbone; stamped, cast and forged junctions, forged fender supports; MIG welded","Red, silver, blue, black","Dry sump, internally mounted, crank driven gerotor pressure and dual scavenge pump with spin oil filter",,,2364 mm (93.1 inches),142 mm (5.6 inches),,,,,,,,,,,,,,,,K & N KN-171B,YTX20HL-BS,133,1 1/2 in,32/70 (front/rear)
Honda NX 125 Trans City,1999,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 8500 RPM,100.0 km/h (62.1 mph),Air,6-speed,Chain   (final drive),Single disc,,120.0 kg (264.6 pounds),0.1083 HP/kg,1400 mm (55.1 inches),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 125 Shadow,1999,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"V2, four-stroke",15.0 HP (10.9  kW)) @ 11000 RPM,110.0 km/h (68.4 mph),Liquid,5-speed,Chain   (final drive),,,145.0 kg (319.7 pounds),0.1034 HP/kg,1524 mm (60.0 inches),14.50 litres (3.83 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 400 SXC,1999,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)),150.0 km/h (93.2 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,117.0 kg (257.9 pounds),0.3590 HP/kg,1510 mm (59.4 inches),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Triple,1999,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",108.0 HP (78.8  kW)) @ 9200 RPM,230.0 km/h (142.9 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1440 mm (56.7 inches),18.00 litres (4.76 US gallons),97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 5800 RPM,3.20 seconds,8.40 seconds,11.2:1,79.0 x 65.0 mm (3.1 x 2.6 inches),6.40 litres/100 km (15.6 km/l or 36.75 mpg),148.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),140 mm (5.5 inches),120/70-ZR17 ,190/50-ZR17 ,220 mm (8.7 inches),223.0 kg (491.6 pounds),46.6,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TR 50 SX,1999,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,Automatic,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,Carburettor,,,,,,,,,,,,,,,,,,"Red,Black,Yellow,Silver,Blue,Gold,Silver",,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1200 LT,1999,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1171.0 ccm (71.45 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 7000 RPM,198.0 km/h (123.0 mph),Liquid,5-speed,Shaft drive (cardan)   (final drive),"Dual disc, ABS","Single disc, ABS",,,1630 mm (64.2 inches),24.00 litres (6.34 US gallons),115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 4750 RPM,4.60 seconds,16.50 seconds,10.8:1,70.5 x 75.0 mm (2.8 x 3.0 inches),6.20 litres/100 km (16.1 km/l or 37.94 mpg),143.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,102 mm (4.0 inches),130 mm (5.1 inches),120/70-R17 ,160/70-R17 ,285 mm (11.2 inches),388.0 kg (855.4 pounds),46.4,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 250 S Virago,1999,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"V2, four-stroke",21.0 HP (15.3  kW)) @ 8000 RPM,130.0 km/h (80.8 mph),Air,5-speed,Chain   (final drive),Single disc,Expanding brake,148.0 kg (326.3 pounds),0.1419 HP/kg,1490 mm (58.7 inches),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Nevada 750 Club,1999,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6200 RPM,158.0 km/h (98.2 mph),Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,,,1480 mm (58.3 inches),16.00 litres (4.23 US gallons),60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 3200 RPM,6.30 seconds,18.70 seconds,9.6:1,80.0 x 74.0 mm (3.1 x 2.9 inches),5.80 litres/100 km (17.2 km/l or 40.56 mpg),134.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,170 mm (6.7 inches),100 mm (3.9 inches),100/90-18 ,130/90-16 ,260 mm (10.2 inches),205.0 kg (451.9 pounds),43.9,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 600 F,1999,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)) @ 10500 RPM,207.0 km/h (128.6 mph),Oil & air,6-speed,Chain   (final drive),Dual disc,Single disc,,,1470 mm (57.9 inches),20.00 litres (5.28 US gallons),55.0 Nm (5.6 kgf-m or 40.6 ft.lbs) @ 10000 RPM,3.90 seconds,16.30 seconds,11.3:1,62.6 x 48.7 mm (2.5 x 1.9 inches),6.60 litres/100 km (15.2 km/l or 35.64 mpg),153.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,130 mm (5.1 inches),142 mm (5.6 inches),120/70-ZR17 ,150/70-ZR17 ,240 mm (9.4 inches),229.0 kg (504.9 pounds),51.1,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV 650 N - S,1999,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",645.0 ccm (39.36 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 9000 RPM,,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1420 mm (55.9 inches),16.00 litres (4.23 US gallons),62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 7500 RPM,,,,,,,,,120/60-ZR17 ,160/60-ZR17 ,290 mm (11.4 inches),175.0 kg (385.8 pounds),,"805 mm (31.7 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 500 E,1999,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",487.0 ccm (29.72 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 9000 RPM,170.0 km/h (105.6 mph),Air,6-speed,Chain   (final drive),Single disc,Single disc,,,1410 mm (55.5 inches),17.00 litres (4.49 US gallons),40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 7400 RPM,5.90 seconds,22.70 seconds,9.0:1,74.0 x 56.6 mm (2.9 x 2.2 inches),5.20 litres/100 km (19.2 km/l or 45.23 mpg),120.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),115 mm (4.5 inches),110/70-17 ,130/70-17 ,250 mm (9.8 inches),186.0 kg (410.1 pounds),,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 R,1999,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",80.0 HP (58.4  kW)) @ 6800 RPM,203.0 km/h (126.1 mph),Oil & air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,,,1487 mm (58.5 inches),21.00 litres (5.55 US gallons),97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 5300 RPM,3.90 seconds,9.00 seconds,10.3:1,99.0 x 70.5 mm (3.9 x 2.8 inches),6.80 litres/100 km (14.7 km/l or 34.59 mpg),157.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),130 mm (5.1 inches),120/70-ZR17 ,160/60-ZR18 ,276 mm (10.9 inches),245.0 kg (540.1 pounds),50.6,"760 mm (29.9 inches) If adjustable, lowest setting.",Electric,,4,Injection,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster 1200 Custom,1999,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1200.0 ccm (73.22 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5200 RPM,188.3 km/h (117.0 mph),Air,5-speed,Belt   (final drive),Single disc. 4-piston caliper,Single disc. 4-piston caliper,223.0 kg (491.6 pounds),0.2601 HP/kg,1524 mm (60.0 inches),12.50 litres (3.30 US gallons),88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 4000 RPM,,,,88.9 x 96.5 mm (3.5 x 3.8 inches),,,,,100/90-19 ,130/90-16 ,292 mm (11.5 inches),,,"734 mm (28.9 inches) If adjustable, lowest setting.",Electric,,,Carburettor,,,,,,39mm telescopic fork,Dual shocks,,,,,,,,,,,,,Multi plate wet,,2238 mm (88.1 inches),170 mm (6.7 inches),,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R6,1999,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",120.0 HP (87.6  kW)) @ 13000 RPM,250.0 km/h (155.3 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1380 mm (54.3 inches),17.00 litres (4.49 US gallons),68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 11500 RPM,3.40 seconds,10.60 seconds,12.4:1,65.5 x 44.5 mm (2.6 x 1.8 inches),6.90 litres/100 km (14.5 km/l or 34.09 mpg),160.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,130 mm (5.1 inches),120 mm (4.7 inches),120/60-ZR17 ,180/55-ZR17 ,220 mm (8.7 inches),195.0 kg (429.9 pounds),50.3,"820 mm (32.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Zephyr 550,1999,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 10000 RPM,160.0 km/h (99.4 mph),Air,6-speed,Chain   (final drive),Dual disc,Single disc,,,1435 mm (56.5 inches),15.00 litres (3.96 US gallons),40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 6000 RPM,6.30 seconds,17.80 seconds,9.5:1,58.0 x 52.4 mm (2.3 x 2.1 inches),5.20 litres/100 km (19.2 km/l or 45.23 mpg),120.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),115 mm (4.5 inches),110/80-17 ,140/70-18 ,240 mm (9.4 inches),206.0 kg (454.2 pounds),49.8,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
