Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Color options,Starter,Engine details,Power,Torque,Driveline,Exhaust system,Frame type,Wheels,Dry weight,Power/weight ratio,Comments,Valves per cylinder,Clutch,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Diameter,Reserve fuel capacity,Fuel consumption,Greenhouse gases,"Weight incl. oil, gas, etc",Ground clearance,Factory warranty,Top speed,Seat,Light,Emission details,Electrical,Oil capacity,Instruments,Alternate seat height,Carrying capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Spark plugs,Max RPM,Engine oil,Brake fluid,Coolant,Fork tube size,Idle speed,Tire pressure front,Tire pressure rear,Front percentage of weight,Chain links,Sprockets,Battery
Yamaha Xenter MotoGP,2013,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,Injection. EFI,Single Overhead Cams (SOHC),TCI,Wet sump,Liquid,Automatic,Belt   (final drive),Telescopic forks,"Swingarm, monocross",100/80-16 ,120/80-16 ,Single disc,Expanding brake (drum brake),"785 mm (30.9 inches) If adjustable, lowest setting.",1135 mm (44.7 inches),1990 mm (78.3 inches),690 mm (27.2 inches),1385 mm (54.5 inches),8.00 litres (2.11 US gallons),Black,Electric,,12.3 HP (9.0  kW)) @ 7500 RPM,11.9 Nm (1.2 kgf-m or 8.8 ft.lbs) @ 7250 RPM,V-Belt Automatic,,Stumbleupon,,,,MotoGP and Yamaha graphics scheme.,4,,,,110 mm (4.3 inches),95 mm (3.7 inches),150 mm (5.9 inches),,,,142.0 kg (313.1 pounds),140 mm (5.5 inches),,,,LED tail light,,,,LCD panel,,,,,,,,,,,,,,,,,
Brammo Empulse,2013,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,,Electric,,,,,,,Liquid,6-speed,Chain   (final drive),"OE Spec 43mm inverted forks, adjustable preload, compression  and  rebound",OE Spec Works Performance Shock with adjustable rebound and preload,120/70-17 ,180/55-17 ,"Double disc. Nissin 4 piston, fixed caliper","Single disc. Brembo Single piston, floating caliper","810 mm (31.9 inches) If adjustable, lowest setting.",1067 mm (42.0 inches),2057 mm (81.0 inches),,,,"Red, black, white",Electric,Sealed Permanent AC Synchronous motor,53.6 HP (39.2  kW)),63.0 Nm (6.4 kgf-m or 46.5 ft.lbs),,,Lightweight extruded and welded aluminum - serves a battery tray (patent pending),Cast Aluminum,190.5 kg (420.0 pounds),0.2816 HP/kg,"Brammo Power™ BPM15/90 Lithium-Ion ( NCM Chemistry), 103.6 Volt.  Recharge time approximately 8 hours. Range: 125 km. Under deceleration, energy is returned to the battery system to both extend driving range and provide familiar rider feedback. ",,"IET 6 speed gearbox with multi-plate, hydraulic activated wet clutch",,,,,,,,,,,"2 Years (Limited Factory Warranty) 1 year Fender-to-Fender Limited Warranty, 2 year Limited Powertrain Warranty (Batteries and Motor) ",160.9 km/h (100.0 mph),,,No direct emmisions,,,Analog/digital,,Optional Brammo hard saddle bags and top trunk.,,,,,,,,,,,,,,,
Geely JL250-2C,2013,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,250.0 ccm (15.26 cubic inches),"Twin, four-stroke",,,Carburettor,,,"Pressing, splashing",Air,,Chain   (final drive),,,3.00-18 ,130/90-15 ,Single disc,Expanding brake (drum brake),,1065 mm (41.9 inches),2010 mm (79.1 inches),755 mm (29.7 inches),1460 mm (57.5 inches),,,Electric & kick,,,,,,Steel,,,,,,Wet multiple,,,,,,,,,146.0 kg (321.9 pounds),120 mm (4.7 inches),,90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Tri Glide Ultra Classic,2013,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1688.0 ccm (103.00 cubic inches),"V2, four-stroke",9.6:1,98.4 x 111.3 mm (3.9 x 4.4 inches),Injection. Electronic Sequential Port Fuel Injection (ESPFI),,,,Air,6-speed,Belt   (final drive),,,130/60-21 ,205/65-15 ,Single disc,Single disc,"688 mm (27.1 inches) If adjustable, lowest setting.",,2687 mm (105.8 inches),,1692 mm (66.6 inches),22.71 litres (6.00 US gallons),"Anniversary Vintage Bronze/Anniversary Vintage Black, Midnight Pearl/Brilliant Silver Pearl, Big Blue Pearl/Vivid Black, Ember Red Sunglo, Vivid Black",Electric,"Air-cooled, Twin Cam 103™",,135.6 Nm (13.8 kgf-m or 100.0 ft.lbs) @ 3250 RPM,"Chain, 34/46 ratio primary drive","Chrome, 2-1-2 dual exhaust with tapered mufflers",,"Black, 7-spoke Cast Aluminum. Two rear wheels.",,,Trike. Windshield. CVO is HD´s Custom Vehicle Operation.,,Multi-plate with diaphragm spring in oil bath,26.0°,100 mm (3.9 inches),,,,,6.19 litres/100 km (16.2 km/l or 38.00 mpg),143.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,"524.8 kg (1,157.0 pounds)",119 mm (4.7 inches),,,,"High Beam, running lights, front fender running lights, directional light bar, low oil pressure, engine diagnostics, cruise control, speakers, accessory, security system (optional), 6 speed, low fuel warning, reverse enabled",,,3.80 litres (4.02 US quarts),"Fairing-mounted electronic speedometer with odometer; time-of-day clock on CD player/stereo; dual trip meter; low fuel indicator light and mileage countdown feature; low oil pressure indicator light; engine diagnostics readout; LED indicator lights; 6-speed indicator light; cruise control indicator light Tachometer with fuel, voltage, oil pressure and ambient air temperature gauges",,Trunk and top box,,,,,,,,,,,,,,,
KTM 500 EXC Six days,2013,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",510.4 ccm (31.14 cubic inches),"Single cylinder, four-stroke",,95.0 x 72.0 mm (3.7 x 2.8 inches),,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment, type Kokusan",Forced oil lubrication with 2 Eaton pumps,Liquid,,,WP  Suspension Up Side Down 4860 4CS,WP  Suspension PDS 5018 DCC,,,Single disc,Single disc,"970 mm (38.2 inches) If adjustable, lowest setting.",,,,1482 mm (58.3 inches),9.00 litres (2.38 US gallons),,Electric & kick,,,,5/8 x 1/4,,Central tube frame made of chrome molybdenum steel tubing,,112.5 kg (248.0 pounds),,,,Wet multi-disc clutch / hydraulically operated,26.5°,,292 mm (11.5 inches),335 mm (13.2 inches),220 mm (8.7 inches),,,,,345 mm (13.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Loncin LX150-30A Spitzer NK,2013,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",150.1 ccm (9.16 cubic inches),"Single cylinder, four-stroke",9.0:1,62.0 x 58.0 mm (2.4 x 2.3 inches),,,C.D.I,,Air,5-speed,Chain   (final drive),,,80/90-17 ,110/80-17 ,Single disc,Expanding brake (drum brake),"780 mm (30.7 inches) If adjustable, lowest setting.",,1980 mm (78.0 inches),810 mm (31.9 inches),1340 mm (52.8 inches),16.00 litres (4.23 US gallons),"Green, red, yellow",Electric,,11.4 HP (8.3  kW)) @ 8500 RPM,10.5 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 7500 RPM,,,,,120.0 kg (264.6 pounds),0.0950 HP/kg,Chinese bike. ,,,,,,,,,,,,160 mm (6.3 inches),,110.0 km/h (68.4 mph),,,,12V 9AH battery.,,,,,,,,,,,,,,,,,,,
Kawasaki KLX250,2013,Super motard," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",11.0:1,72.0 x 61.2 mm (2.8 x 2.4 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Digital CDI,"Forced lubrication, wet sump",Liquid,,Chain   (final drive),43 mm upside-down telescopic fork,Uni-Trak,3.00-21 ,4.60-18 ,Single disc. Disc Caliper: 2-piston,Single disc. Disc Caliper: Single-piston,"890 mm (35.0 inches) If adjustable, lowest setting.",1205 mm (47.4 inches),2200 mm (86.6 inches),820 mm (32.3 inches),1430 mm (56.3 inches),7.70 litres (2.03 US gallons),Green,Electric,,21.5 HP (15.7  kW)) @ 7500 RPM,20.5 Nm (2.1 kgf-m or 15.1 ft.lbs) @ 7000 RPM,,,"Perimeter, high-tensile steel",,,,,4,"Wet multi-disc, manual",,,,,240 mm (9.4 inches),,,,138.0 kg (304.2 pounds),285 mm (11.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Znen Roar,2013,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,244.0 ccm (14.89 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,,,Liquid,Automatic,Belt   (final drive),,,110/90-12 ,110/90-12 ,Single disc,Single disc,,1213 mm (47.8 inches),2140 mm (84.3 inches),740 mm (29.1 inches),1518 mm (59.8 inches),,White,Electric,,13.3 HP (9.7  kW)) @ 6500 RPM,15.7 Nm (1.6 kgf-m or 11.6 ft.lbs) @ 5000 RPM,,,Steel,,144.0 kg (317.5 pounds),0.0922 HP/kg,Model id: ZN250T-D. Brand sometimes called ZN-Motor. Made in China. ,,,,,,,,,,,,,,95.0 km/h (59.0 mph),,,"EEC, EPA, DOT",,,Analogue,,,,,,,,,,,,,,,,,
Lifan LF 200 GS Sport,2013,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, four-stroke",9.0:1,63.5 x 62.0 mm (2.5 x 2.4 inches),Carburettor,Overhead Cams (OHC),CDI,,Air,5-speed,Chain   (final drive),Telescopic hydraulic,Dual shocks,80/100-18 ,100/90-18 ,Single disc,Expanding brake (drum brake),"780 mm (30.7 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2025 mm (79.7 inches),745 mm (29.3 inches),1300 mm (51.2 inches),13.00 litres (3.43 US gallons),Blue,Electric & kick,,16.8 HP (12.2  kW)) @ 8500 RPM,17.0 Nm (1.7 kgf-m or 12.5 ft.lbs) @ 7000 RPM,Constant mesh,,Steel,Alloy rims,,,Lifan is a Chinese brand. Sold in Asia and New Zealand.,,,,,,,,,,,129.0 kg (284.4 pounds),,12 months,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ER-4n,2013,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,399.0 ccm (24.35 cubic inches),"Twin, four-stroke",,,Injection. Digital,Double Overhead Cams/Twin Cam (DOHC),Digital CDI,Wet sump,Liquid,6-speed,Chain   (final drive),41mm hydraulic cartridge fork,"Single shock, swingarm",120/70-R17 ,160/60-R17 ,Double disc,Single disc,"790 mm (31.1 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2100 mm (82.7 inches),759 mm (29.9 inches),1410 mm (55.5 inches),15.50 litres (4.10 US gallons),White/Red/Black,Electric,,42.9 HP (31.3  kW)) @ 9400 RPM,37.0 Nm (3.8 kgf-m or 27.3 ft.lbs) @ 7500 RPM,O-Ring Chain,,Trellis,,,,Sold in Japan only. Optional ABS brakes adds 4 kg to the weight.,4,"Wet, cable operated",25.0°,120 mm (4.7 inches),120 mm (4.7 inches),125 mm (4.9 inches),220 mm (8.7 inches),,,,199.0 kg (438.7 pounds),145 mm (5.7 inches),,,,two vertical headlights,,,,analog speedometer,,,,,,,,,,,,,,,,,
Rieju MRT 50 Pro ,2013,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor. Dell´Orto PHBN 16,,,,Liquid,6-speed,Chain   (final drive),Marzocchi inverted fork of Ø40mm.,Gas Mono-shock shock absorber and separate bottle PRS system,80/90-21 ,110/80-18 ,Single disc. AJP 2-piston caliper. Galfer Wave.,Single disc. Galfer Wave.,"850 mm (33.5 inches) If adjustable, lowest setting.",1165 mm (45.9 inches),2150 mm (84.6 inches),800 mm (31.5 inches),1405 mm (55.3 inches),6.30 litres (1.66 US gallons),"Green, black/green",Kick,Minarelli NG 50c.c. - 2T special cylinder ,,,,Muffler with aluminium silencer,Highly resistant double cradle steel perimeter.,Alloy Rims,85.0 kg (187.4 pounds),,Made in Spain.,,,,,,,200 mm (7.9 inches),,,,,,,,,,,,1.10 litres (1.16 US quarts),,,,,,,,,,,,,,,,,,
Yamaha V Star 1100 Custom,2013,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1065.2 ccm (65.00 cubic inches),"V2, four-stroke",8.3:1,95.0 x 75.0 mm (3.7 x 3.0 inches),Carburettor. (2) 37mm Mikuni ; throttle position sensor,Single Overhead Cams (SOHC),TCI,,Air,5-speed,Shaft drive (cardan)   (final drive),Telescopic fork,"Single shock, adjustable preload, 4.5-in travel",110/90-18 ,170/80-15 ,Double disc. Hydraulic. ,Single disc. Hydraulic. ,"691 mm (27.2 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2405 mm (94.7 inches),894 mm (35.2 inches),1641 mm (64.6 inches),,"Candy Red, Raven - Midnight Custom",Electric,75° V-twin. Ceramic-composite cylinder-bore plating.,,,,,Steel; hidden shock,Laced,,,,2,,,,140 mm (5.5 inches),,282 mm (11.1 inches),,5.35 litres/100 km (18.7 km/l or 43.97 mpg),124.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,274.9 kg (606.0 pounds),145 mm (5.7 inches),1 Year (Limited Factory Warranty),,,,,,,Tank-mounted speedometer,,,,,,,,,,,,,,,,,
Motus MST-R,2013,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1650.0 ccm (100.68 cubic inches),"V4, four-stroke",,,Injection. EFI,Single Overhead Cams (SOHC),,,Liquid,6-speed,Chain   (final drive),Ohlins R and T NIX adjustable,Ohlins TTX mono-shock,,,Double disc. Brembo M4 monoblock calipers,Single disc. Brembo M4 monoblock calipers,,,,,,,"Carbon Black, White",Electric,,185.0 HP (135.0  kW)),,"20,000 mi XW-ring chain by RK",,,BST premium carbon fiber wheels w/ wave rotors,,,Windscreen,,,,,,,,,,,,,2 year warranty unlimited mileage,,Seat by Sargent,,,720w alternator,,,,Removable side cases by Givi,,,,,,,,,,,,,,,
Kawasaki KX 100,2013,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,99.0 ccm (6.04 cubic inches),"Single cylinder, two-stroke",9.6:1,52.5 x 45.8 mm (2.1 x 1.8 inches),Carburettor. Keihin PWK28,,Digital CDI,,Liquid,6-speed,Chain   (final drive),36mm inverted telescopic cartridge fork with 18-way compression damping / 10.8 in.,Uni-Trak  single shock system with 4-way compression and 18-way rebound damping plus adjustable spring preload / 10.8 in.,70/100-19 ,90/100-16 ,Single disc,Single disc,"871 mm (34.3 inches) If adjustable, lowest setting.",1105 mm (43.5 inches),1910 mm (75.2 inches),734 mm (28.9 inches),1290 mm (50.8 inches),5.68 litres (1.50 US gallons),Lime Green,,,,,,,High-tensile steel perimeter design with subframe member,,,,,,,27.0°,104 mm (4.1 inches),,,,,,,71.0 kg (156.5 pounds),381 mm (15.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB500X,2013,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",471.0 ccm (28.74 cubic inches),"Twin, four-stroke",10.7:1,67.0 x 66.8 mm (2.6 x 2.6 inches),Injection,,,,Liquid,6-speed,Chain   (final drive),"Conventional Telescopic, 41mm","Prolink mono with 9 stage Preload adjuster, steel square pipe swingarm",120/70-ZR17 ,160/60-ZR17 ,Single disc,Single disc,"810 mm (31.9 inches) If adjustable, lowest setting.",1262 mm (49.7 inches),2096 mm (82.5 inches),822 mm (32.4 inches),1421 mm (55.9 inches),17.30 litres (4.57 US gallons),Black,Kick,,46.9 HP (34.3  kW)) @ 8500 RPM,43.0 Nm (4.4 kgf-m or 31.7 ft.lbs) @ 7000 RPM,,2-1 manifold with Catalyst and 02 feedback,"Steel, Diamond. Swing arm: 567.7mm.",Multi-Spoke Aluminium Cast,178.0 kg (392.4 pounds),0.2637 HP/kg,,4,Wet multiplate,,,,,240 mm (9.4 inches),,3.70 litres/100 km (27.0 km/l or 63.57 mpg),85.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,195.0 kg (429.9 pounds),165 mm (6.5 inches),,,,,,,3.20 litres (3.38 US quarts),"Digital Speedometer, Digital Bar Graph Tachometer, Dual Trip Meters, Digital Fuel Level Gauge  and  Fuel Consumption Gauge, Digital Clock",,,,,,,,,,,,,,,,,
proEco Emilia,2013,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,,Electric,,,,,,,Air,,,,,,,Single disc,Single disc,"780 mm (30.7 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),1900 mm (74.8 inches),745 mm (29.3 inches),,,,Electric,,2.7 HP (2.0  kW)),,,,,,,,Range 70 km. Charge time 5-8 hours. More than 450 charge cycles.,,,,,,,,,,,140.0 kg (308.6 pounds),100 mm (3.9 inches),,45.0 km/h (28.0 mph),Dual,,,"60 V, 40 Ah Silicon battery.",,,,,,,,,,,,,,,,,,,
Sherco ST 80,2013,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,74.6 ccm (4.55 cubic inches),"Single cylinder, two-stroke",,44.5 x 50.7 mm (1.8 x 2.0 inches),Carburettor. Dell Orto PHBL26BS,,Leonelli,2% oil premix,Air,5-speed,Chain   (final drive),Tech Ø 39 mm hydraulic telescopic fork,"Progressive link system with single Olle adjustable shock absorber, ",,,Single disc. Formula brake kit,Single disc. Formula brake kit,,,,,1322 mm (52.0 inches),,Yellow/black/blue/white,Kick,Nikasil coated cylinder. Pressure diecast aluminum engine cases. ,,,,Integrated aluminum muffler,Triangulated cross section Chrome-moly,"Morad 21 inch front and 18 inch rear gold anodized aluminum rim and aluminum hub, steel spokes with Michelin tube-type tire",67.0 kg (147.7 pounds),,,,Hydraulically activated multidisc in oil bath,,,165 mm (6.5 inches),175 mm (6.9 inches),145 mm (5.7 inches),,,,,310 mm (12.2 inches),,,,,,,0.40 litres (0.42 US quarts),,,,,,,,,,,,,,,,,,
Honda Activa,2013,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",109.0 ccm (6.65 cubic inches),"Single cylinder, four-stroke",9.0:1,50.0 x 0.0 mm (2.0 x  inches),,Overhead Cams (OHC),CDI,,Air,,Belt   (final drive),Hydrualic dampers,Unit swing,90/100-10 ,90/100-10 ,Expanding brake (drum brake),Expanding brake (drum brake),"765 mm (30.1 inches) If adjustable, lowest setting.",,,,1238 mm (48.7 inches),5.30 litres (1.40 US gallons),Red,Electric & kick,,8.0 HP (5.8  kW)) @ 7000 RPM,7.9 Nm (0.8 kgf-m or 5.8 ft.lbs) @ 5500 RPM,,,Underbone,,,,Sold in India. A deLuxe version is also available.,,,,,,,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM XTR-4 300,2013,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,300.0 ccm (18.31 cubic inches),"Single cylinder, four-stroke",11.0:1,78.0 x 61.2 mm (3.1 x 2.4 inches),Carburettor. SU Mikuni 34mm,,,Pressure pump feed,Liquid,,Chain   (final drive),SPX race forks,Rebound / compression / preload,2.50-21 ,3.00-18 ,Single disc. Hydraulic,Single disc. Hydraulic,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,1505 mm (59.3 inches),9.00 litres (2.38 US gallons),White/red/black,Electric & kick,,,,2.7:1 520 chain,Sport design / baffle / no fiber,Chrome molly,,124.0 kg (273.4 pounds),,"CCM is an abbreviation of Clews Competition Motorcycles,a British motorcycle manufacturer founded when BSA´s Competition Department collapsed in 1971.",4,Wet,28.0°,,245 mm (9.6 inches),240 mm (9.4 inches),,,,,,280 mm (11.0 inches),,,,,,12 Volt,,,"925 mm (36.4 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,
Rieju MRT 50 SM  ,2013,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor. Dell´Orto PHBN 16,,CDI,Separate mixture,Liquid,6-speed,Chain   (final drive),Fork of Ø37mm.,Mono-shock shock absorber,100/80-17 ,130/70-17 ,Single disc,Single disc,"850 mm (33.5 inches) If adjustable, lowest setting.",1145 mm (45.1 inches),2070 mm (81.5 inches),800 mm (31.5 inches),1380 mm (54.3 inches),6.30 litres (1.66 US gallons),"Orange, White, Black/white/red",Kick,Minarelli NG 50 engine,,,,Muffler with silencer,Double cradle. Highly resistant steel perimeter ,,85.0 kg (187.4 pounds),,Made in Spain.,,,,,,,220 mm (8.7 inches),,,,,,,,,,,,1.10 litres (1.16 US quarts),Digital,,,,,,,,,,,,,,,,,
Kymco MXU 150,2013,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,151.0 ccm (9.21 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Single Overhead Cams (SOHC),CDI,,Air,Automatic,Chain   (final drive),Single A-arm,Swing arm,21/7-10 ,22/10-10 ,Expanding brake (drum brake),Single disc,"749 mm (29.5 inches) If adjustable, lowest setting.",,1778 mm (70.0 inches),950 mm (37.4 inches),1115 mm (43.9 inches),8.10 litres (2.14 US gallons),"Green, Blue, Red",Electric & kick,,11.0 HP (8.0  kW)),,"Automatic CVT w/forward, neutral  and  reverse",,,,174.0 kg (383.6 pounds),0.0632 HP/kg,,,,,,,,,,,,,152 mm (6.0 inches),One-Year Limited Factory Warranty,64.4 km/h (40.0 mph),,"Backlit Digital Dash (clock, mph, trip, fuel, odometer)",,,,,,Heavy-Duty Front and Rear Equipment Racks. Tow Hitch Capacity 150kg.,,,,,,,,,,,,,,,
Honda Elite,2013,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",108.0 ccm (6.59 cubic inches),"Single cylinder, four-stroke",11.0:1,50.0 x 55.0 mm (2.0 x 2.2 inches),Injection. Programmed Fuel Injection (PGM-FI) with automatic enrichment,Single Overhead Cams (SOHC),Digital transistorized with electronic advance,,Liquid,Automatic,Belt   (final drive),33mm hydraulic fork,Swingarm with single hydraulic shock,90/90-12 ,100/90-10 ,Single disc. Two-piston calipers. ,Expanding brake (drum brake),"739 mm (29.1 inches) If adjustable, lowest setting.",,,,1275 mm (50.2 inches),6.06 litres (1.60 US gallons),"Red, Black",Electric,,,,,,,,,,Model ID: NHX110,,,26.5°,74 mm (2.9 inches),79 mm (3.1 inches),71 mm (2.8 inches),130 mm (5.1 inches),,2.22 litres/100 km (45.0 km/l or 105.96 mpg),51.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,115.2 kg (254.0 pounds),,One year. Unlimited milage. Transferable.,,,,Meets current EPA standards.,,,,,,,,,,,,,,,,,,,,
KTM 990 Adventure R,2013,Super motard," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"V2, four-stroke",,101.0 x 62.4 mm (4.0 x 2.5 inches),Injection,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",Dry-sump lubrication with 2 rotor pumps,Liquid,6-speed,Chain   (final drive),WP  Suspension Up Side Down 4860 MXMA PA,WP  Suspension PDS 5018 DCC PA,,,Double disc. Floating disc. ,Single disc. Floating disc. ,"905 mm (35.6 inches) If adjustable, lowest setting.",,,,1570 mm (61.8 inches),20.00 litres (5.28 US gallons),Black,Electric,"75° V arrangement,",113.3 HP (82.7  kW)),,5/8  x  5/16  X Ring. Primary drive: 35:67.,,"Tubular space frame made from chrome molybdenum steel, powder-coated",,207.0 kg (456.4 pounds),0.5474 HP/kg,Small windscreen.,,Wet multi-disc clutch / hydraulically operated,26.6°,,190 mm (7.5 inches),190 mm (7.5 inches),240 mm (9.4 inches),,,,,301 mm (11.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,
