Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Fuel system,Lubrication system,Front tire,Rear tire,Dry weight,Engine details,Valves per cylinder,Fuel control,Ignition,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Exhaust system,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Seat,Power/weight ratio,Alternate seat height,Instruments,Factory warranty,Electrical,Light,Carrying capacity,Reserve fuel capacity,Oil capacity,Top speed,0-100 km/h (0-62 mph),Max RPM,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,1/4 mile (0.4 km),Modifications compared to previous model,Belt teeth,Belt width,Pulley teeth
BMW S 1000 XR Sport,2018,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,999.0 ccm (60.96 cubic inches),"In-line four, four-stroke",165.0 HP (120.4  kW)) @ 11000 RPM,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 9250 RPM,12.0:1,80.0 x 49.7 mm (3.1 x 2.0 inches),Liquid,6-speed,Chain   (final drive),"Aluminium composite bridge frame, partially self-supporting engine","Upside-down telescopic fork   46 mm, compression and rebound stage adjustable","Aluminium 2-sided swing arm, rebound damping adjustable",Double disc. ABS. Floating discs. Four-piston calipers. ,265 mm (10.4 inches),Single disc. ABS. Floating disc. ,Cast Aluminium,228.0 kg (502.7 pounds),"840 mm (33.1 inches) If adjustable, lowest setting.",1138 mm (44.8 inches),2183 mm (85.9 inches),940 mm (37.0 inches),,1548 mm (60.9 inches),20.00 litres (5.28 US gallons),"Racing Red, Ocean Blue Metallic Matt, Light White/Racing Blue Metallic/Racing Red",Electric,Small windscreen. Dynamic Traction Control. Cruise Control. Heated grips.,Injection. Electronic Injection,,120/70-ZR17 ,190/55-ZR17 ,178.0 kg (392.4 pounds),Titanium valves,4,Double Overhead Cams/Twin Cam (DOHC),,"Multiplate clutch in oil bath, anti-hopping clutch, mechanically controlled",Chain 17/45,6.70 litres/100 km (14.9 km/l or 35.11 mpg),155.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Three-way catalytic converter, balance pipe, compliant with EU4 emission standard",,25.5°,117 mm (4.6 inches),150 mm (5.9 inches),140 mm (5.5 inches),,0.9270 HP/kg,,,,,,,4.00 litres (1.06 US gallons),,200.0 km/h (124.3 mph),,,,,,,,,,,,,,,,,,,,
FB Mondial Pagani 1948,2018,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",24.1 HP (17.6  kW)) @ 9000 RPM,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 7000 RPM,11.5:1,77.0 x 53.6 mm (3.0 x 2.1 inches),Liquid,6-speed,Chain   (final drive),,USD hydraulyc fork,Double shock absorbers,Single disc. Four-piston calipers. ABS.,220 mm (8.7 inches),Single disc. Floating disc. Single-piston caliper. ABS.,,,"775 mm (30.5 inches) If adjustable, lowest setting.",1050 mm (41.3 inches),1980 mm (78.0 inches),650 mm (25.6 inches),145 mm (5.7 inches),1370 mm (53.9 inches),9.00 litres (2.38 US gallons),Light blue/dark blue,Electric,Nello Pagani was the pilot who first ran and won with the FB Mondial in 1948. Model also called ´Sport Classic 300´. Italian brand. ,Injection. EFI,Wet sump,100/80-17 ,140/70-17 ,135.0 kg (297.6 pounds),,4,Single Overhead Cams (SOHC),,,,,,Euro 4,,,,90 mm (3.5 inches),120 mm (4.7 inches),,0.1788 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Street Scrambler,2018,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",900.0 ccm (54.92 cubic inches),"Twin, four-stroke",55.0 HP (40.1  kW)) @ 5900 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 3230 RPM,10.6:1,84.6 x 80.0 mm (3.3 x 3.1 inches),Liquid,5-speed,Chain   (final drive),Tubular steel cradle,KYB 41mm cartidge forks,KYB twin shocks with adjustable preload.,Single disc. ABS. Floating discs. Two-piston calipers. ,255 mm (10.0 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,32-spoke,,"790 mm (31.1 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),,831 mm (32.7 inches),,1446 mm (56.9 inches),12.11 litres (3.20 US gallons),"Matt Khaki Green, Jet Black, Korosi Red/Frozen Silver",Electric,,Injection. Multipoint sequential electronic fuel injection,,100/90-18 ,150/70-R17 ,206.0 kg (454.2 pounds),270° crank angle parallel twin,4,Single Overhead Cams (SOHC),,Wet. multi-plate assist clutch,X ring chain,3.80 litres/100 km (26.3 km/l or 61.90 mpg),88.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,Brushed stainless steel 2 into 2 exhaust system with twin silencers,25.6°,109 mm (4.3 inches),120 mm (4.7 inches),120 mm (4.7 inches),,0.2670 HP/kg,,"LCD multi-functional instrument pack with analogue speedometer, odometer, gear position indicator, fuel gauge, range to empty indication, service indicator, clock",,,,,,3.80 litres (4.02 US quarts),,,,,,,,,,,,,,,,,,,,,
Yamaha Tritown,2018,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,Air,1-speed,,,,,,,,Dual tilting front wheels,,,,,,,,,"White/blue, black/blue",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ 25,2018,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",20.9 HP (15.3  kW)) @ 8000 RPM,20.0 Nm (2.0 kgf-m or 14.8 ft.lbs) @ 6000 RPM,9.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),Air,5-speed,Chain   (final drive),,Telescopic fork,Swingarm.  Monocross suspsension.,Single disc,220 mm (8.7 inches),Single disc,,,"795 mm (31.3 inches) If adjustable, lowest setting.",1075 mm (42.3 inches),2015 mm (79.3 inches),770 mm (30.3 inches),160 mm (6.3 inches),1360 mm (53.5 inches),14.00 litres (3.70 US gallons),"Blue, black, white",Electric,,Injection,,100/80-17 ,140/70-17 ,148.0 kg (326.3 pounds),,,Single Overhead Cams (SOHC),,"Wet,multiple disc",,,,,,,,,,,0.1412 HP/kg,,,,,LED headlights,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha WR450F,2018,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,,12.3:1,95.0 x 63.4 mm (3.7 x 2.5 inches),Liquid,5-speed,Chain   (final drive),Aluminium beam frame with optimised rigidity,KYB® spring-type fork with speed sensitive damping; fully adjustable,KYB® single shock; fully adjustable,Single disc. Hydraulic. ,245 mm (9.6 inches),Single disc. Hydraulic. ,Dunlop® MX3S® tyres,122.9 kg (271.0 pounds),"965 mm (38.0 inches) If adjustable, lowest setting.",1280 mm (50.4 inches),2165 mm (85.2 inches),826 mm (32.5 inches),325 mm (12.8 inches),1466 mm (57.7 inches),7.50 litres (1.98 US gallons),Team Yamaha Blue,Electric,Plug in Power Tuner for easy tuning,"Injection. Keihin® fuel injection, 44mm",Dry sump,80/100-21 ,120/90-18 ,,,4,Double Overhead Cams/Twin Cam (DOHC),TCI,Multiplate wet clutch,O-ring chain,,,,,26.3°,114 mm (4.5 inches),310 mm (12.2 inches),318 mm (12.5 inches),,,,,30 Day Limited Factory Warranty,,,,,0.80 litres (0.85 US quarts),,,,,,,,,,,,,,,,,,,,,
Ducati 959 Panigale,2018,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,955.0 ccm (58.27 cubic inches),"V2, four-stroke",150.0 HP (109.5  kW)) @ 10500 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 9000 RPM,12.5:1,100.0 x 60.8 mm (3.9 x 2.4 inches),Liquid,6-speed,Chain   (final drive),Monocoque Aluminium,Öhlins NIX30 43mm fully adjustable USD fork with TiN treatment. Electronic compression and rebound damping adjustment with semi-active mode,Fully adjustable Ohlins TTX36 unit. Electronic compression and rebound damping adjustment with semi-active mode. Adjustable linkage: Progressive/flat. Aluminium single-sided swingarm,Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,245 mm (9.6 inches),Single disc. ABS. Two-piston calipers. ,3 spoke W shape forged light alloy. Pirelli Diablo Supercorsa SP tyres.,,"830 mm (32.7 inches) If adjustable, lowest setting.",1105 mm (43.5 inches),2070 mm (81.5 inches),745 mm (29.3 inches),,1431 mm (56.3 inches),17.00 litres (4.49 US gallons),"Light gray, Ducati red",Electric,Traction control,Injection. Twin injectors per cylinder. Full ride-by-wire elliptical throttle bodies.,,120/70-ZR17 ,200/55-ZR17 ,176.0 kg (388.0 pounds),Superquadro L-Twin,4,Desmodromic valve control,,Slipper and self-servo wet multiplate clutch with hydraulic control,"Chain 525; Front sprocket 15; Rear sprocket 39. Primary drive: Straight cut gears, Ratio 1.77.",,,Euro 4,2-1-2 system with catalytic converter and 2 lambda probes. Twin stainless steel mufflers with alumimum outer sleeves,24.0°,96 mm (3.8 inches),120 mm (4.7 inches),130 mm (5.1 inches),,0.8523 HP/kg,,,24 months unlimited mileage,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT-R50E,2018,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,9.5:1,36.0 x 48.6 mm (1.4 x 1.9 inches),Air,3-speed,Chain   (final drive),Steel backbone,Inverted telescopic fork,Single shock,Expanding brake (drum brake),80 mm (3.1 inches),Expanding brake (drum brake),,57.2 kg (126.0 pounds),"556 mm (21.9 inches) If adjustable, lowest setting.",795 mm (31.3 inches),1306 mm (51.4 inches),594 mm (23.4 inches),135 mm (5.3 inches),925 mm (36.4 inches),3.10 litres (0.82 US gallons),Team Yamaha Blue,Electric,,Carburettor. Mikuni VM11,,2.50-10 ,2.50-10 ,,,2,Single Overhead Cams (SOHC),CDI,Automatic centrifugal clutch,,,,,USFS-approved spark arrestor,25.5°,33 mm (1.3 inches),97 mm (3.8 inches),71 mm (2.8 inches),,,,,90 Day Limited Factory Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,
Eccity 50,2018,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,5.4 HP (3.9  kW)),,,,,1-speed,,,Telescopic fork,Twin shocks,Single disc,220 mm (8.7 inches),Single disc,,,,1230 mm (48.4 inches),2000 mm (78.7 inches),720 mm (28.3 inches),,,,"White, Black Intense, Champagne",Electric,"Lithium-ìon 72 V, 72.8 Ah battery. Charging 3-9 hours. Range 125 km.",,,130/60-13 ,130/60-13 ,150.0 kg (330.7 pounds),,,,,,,,,None,,,,,,,0.0357 HP/kg,,,,Lithium-ion battery.,,,,,45.0 km/h (28.0 mph),,,,,,,,,,,,,,,,,,,,
KTM 350 EXC-F Six Days,2018,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.7 ccm (21.34 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)),,,88.0 x 57.5 mm (3.5 x 2.3 inches),Liquid,6-speed,Chain   (final drive),Chrome-molybdenum steel central-tube frame,WP-USD Xplor 48 with preload adjuster,WP Xplor PDS shock absorber,Single disc. Brake calipers on floating bearings,220 mm (8.7 inches),Single disc. Brake calipers on floating bearings,,,"960 mm (37.8 inches) If adjustable, lowest setting.",,,,355 mm (14.0 inches),1482 mm (58.3 inches),8.50 litres (2.25 US gallons),Orange/white/blue/red,Electric & kick,,Injection,,,,104.5 kg (230.4 pounds),Balancer shaft,,Double Overhead Cams/Twin Cam (DOHC),Keihin EMS,"Wet, DDS multi-disc clutch, Brembo hydraulics",5/8 x 1/4,,,,,26.5°,,300 mm (11.8 inches),310 mm (12.2 inches),,0.4306 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta V50 Special,2018,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.6 ccm (3.03 cubic inches),"Single cylinder, four-stroke",3.5 HP (2.5  kW)) @ 7500 RPM,3.4 Nm (0.3 kgf-m or 2.5 ft.lbs) @ 6500 RPM,12.6:1,40.0 x 39.2 mm (1.6 x 1.5 inches),Air,Automatic,Belt   (final drive),Underbone,Telescopic fork,Hydraulic shock absorber,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,"770 mm (30.3 inches) If adjustable, lowest setting.",,1900 mm (74.8 inches),600 mm (23.6 inches),,,6.50 litres (1.72 US gallons),Grey,Electric,,,,110/70-12 ,120/70-12 ,86.2 kg (190.0 pounds),,,Overhead Cams (OHC),C.D.I,,CVT,,,Euro 4,,,,,,Dual seat,0.0405 HP/kg,,,2-Year Limited Warranty,,,Underseat storage,,,45.0 km/h (28.0 mph),,,,,,,,,,,,,,,,,,,,
Yamaha Mio i 125,2018,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",9.4 HP (6.9  kW)) @ 8000 RPM,9.6 Nm (1.0 kgf-m or 7.1 ft.lbs) @ 5500 RPM,9.5:1,52.4 x 57.9 mm (2.1 x 2.3 inches),Air,Automatic,Belt   (final drive),Underbone,Telescopic fork,Unit swingarm,Single disc,,Expanding brake (drum brake),,,"750 mm (29.5 inches) If adjustable, lowest setting.",,1870 mm (73.6 inches),685 mm (27.0 inches),135 mm (5.3 inches),1260 mm (49.6 inches),4.20 litres (1.11 US gallons),"Black, white, blue, yellow, magenta, orange",Electric & kick,Sold in Asia.,Injection,"Force-Feed Lubrication, Wet Sump",70/80-14 ,100/70-14 ,94.0 kg (207.2 pounds),,,Single Overhead Cams (SOHC),TCI (Transistor Controlled Ignition),"Dry, Centrifugal, Shoe",,,,,,26.5°,100 mm (3.9 inches),,,,0.0999 HP/kg,,,,,,Underseat storage,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Bandit 650 SA,2018,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",656.0 ccm (40.03 cubic inches),"In-line four, four-stroke",85.0 HP (62.0  kW)) @ 10500 RPM,62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 8900 RPM,11.5:1,65.5 x 48.7 mm (2.6 x 1.9 inches),Liquid,6-speed,Chain   (final drive),"Double cradle, steel","Telescopic, coil spring, oil damped, adjustable spring preload","Link tpe, coil spring, oil dmaped, adjustable spring load and rebound damping",Double disc. ABS,240 mm (9.4 inches),Single disc. ABS,,247.0 kg (544.5 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",1230 mm (48.4 inches),2145 mm (84.4 inches),780 mm (30.7 inches),,1470 mm (57.9 inches),19.00 litres (5.02 US gallons),,Electric,,Injection,,120/70-ZR17 ,160/60-ZR17 ,,,4,Double Overhead Cams/Twin Cam (DOHC),Electronic,,,,,,,26.0°,108 mm (4.3 inches),120 mm (4.7 inches),128 mm (5.0 inches),,,"810 mm (31.9 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NC750S,2018,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",54.0 HP (39.4  kW)) @ 6250 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 4750 RPM,10.7:1,77.0 x 80.0 mm (3.0 x 3.1 inches),Liquid,6-speed,Chain   (final drive),Diamond steel pipe. ,41mm telescopic fork,"Monoshock damper, Pro-Link swingarm",Single disc. Hydraulic. Two-piston calipers. ,240 mm (9.4 inches),Single disc. Hydraulic. Two-piston calipers. ,Multi-Spoke Aluminium Cast,217.0 kg (478.4 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2215 mm (87.2 inches),775 mm (30.5 inches),140 mm (5.5 inches),1525 mm (60.0 inches),14.10 litres (3.73 US gallons),"Black/grey, black/red, red",Electric,,Injection. PGM-FI electronic fuel injection,,120/70-ZR17 ,160/60-ZR17 ,,Twin balancers counteract vibrations,4,Single Overhead Cams (SOHC),Computer-controlled digital transistorised with electronic advance,Hydraulic wet multi-plate clutch/clutches (DCT),,3.46 litres/100 km (28.9 km/l or 67.98 mpg),80.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,,27.0°,110 mm (4.3 inches),183 mm (7.2 inches),183 mm (7.2 inches),,,,Colour LCD,,12V-11.2AH battery.,,21L storage compartment. Optional 35L top box. Optional 29L pannier kit,,3.70 litres (3.91 US quarts),,,,,,,,,,,,,,,,,,,,,
Yamaha Vino Classic,2018,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,12.0:1,38.0 x 43.6 mm (1.5 x 1.7 inches),Liquid,Automatic,Belt   (final drive),"Open, step-through steel-tube frame design","Telescopic fork, 2.3-in travel","Single shock, 2.1-in travel",Expanding brake (drum brake),110 mm (4.3 inches),Expanding brake (drum brake),,81.2 kg (179.0 pounds),"716 mm (28.2 inches) If adjustable, lowest setting.",1006 mm (39.6 inches),1666 mm (65.6 inches),630 mm (24.8 inches),,1161 mm (45.7 inches),4.54 litres (1.20 US gallons),Deep Sea Blue/Vanilla White,Electric,,Injection,,90/90-10 ,90/90-10 ,,,3,Single Overhead Cams (SOHC),CDI,Dry centrifugal automatic clutch,V-belt,1.85 litres/100 km (54.1 km/l or 127.15 mpg),42.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,Plush saddle,,,,1 Year Limited ,,,Underseat storage compartment can hold a helmet. Rack.,,,,,,,,,,,,,,,,,,,,,,,
Yamaha VMAX,2018,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1671.6 ccm (102.00 cubic inches),"V4, four-stroke",200.0 HP (146.0  kW)) @ 9000 RPM,167.0 Nm (17.0 kgf-m or 123.2 ft.lbs) @ 6500 RPM,11.3:1,90.0 x 66.0 mm (3.5 x 2.6 inches),Liquid,5-speed,Shaft drive (cardan)   (final drive),"Cast aluminium, Diamond Shaped","52mm telescopic cartridge fork w/oxidized titanium coating. Fully adjustable preload, compression and rebound","Single shock w/remote reservoir and remote adjustable for preload, compression and rebound",Double disc. Six-piston calipers. Radially mounted. ,298 mm (11.7 inches),Single disc. Single-piston caliper. ,,289.4 kg (638.0 pounds),"775 mm (30.5 inches) If adjustable, lowest setting.",1191 mm (46.9 inches),2395 mm (94.3 inches),820 mm (32.3 inches),,1700 mm (66.9 inches),15.14 litres (4.00 US gallons),Matte Raven Black,Electric,,Injection. Fuel Injection with YCC-T and YCC-I,,120/70-R18 ,200/50-R18 ,,65° V-4,4,Double Overhead Cams/Twin Cam (DOHC),TCI: Transistor Controlled Ignition,Multiplate slipper clutch,,8.71 litres/100 km (11.5 km/l or 27.01 mpg),202.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,31.0°,147 mm (5.8 inches),120 mm (4.7 inches),110 mm (4.3 inches),,,,,1 Year Limited Factory Warranty,,,,,5.90 litres (6.23 US quarts),,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Road King Special,2018,Touring," 4.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1688.0 ccm (103.00 cubic inches),"V2, four-stroke",87.0 HP (63.5  kW)) @ 5000 RPM,138.0 Nm (14.1 kgf-m or 101.8 ft.lbs) @ 3250 RPM,9.6:1,98.4 x 111.3 mm (3.9 x 4.4 inches),Air,6-speed,Belt   (final drive),,Telescopic fork,Twin shocks,Double disc. ABS. 4-piston,,Single disc. ABS. 4-piston,"Black, Turbine Cast Aluminum",372.0 kg (820.1 pounds),"695 mm (27.4 inches) If adjustable, lowest setting.",,2420 mm (95.3 inches),,135 mm (5.3 inches),1625 mm (64.0 inches),22.71 litres (6.00 US gallons),"Vivid Black, Olive Gold, Industrial Gray Denim, Hard Candy Hot Rod Red Flake",Electric,Windshield. Cruise control. Security system.,Injection. Electronic Sequential Port Fuel Injection ,Dry sump,130/60-B19 ,180/55-B18 ,355.0 kg (782.6 pounds),Integrated Oil-Cooler,,Double Overhead Cams/Twin Cam (DOHC),,Multi-plate with diaphragm spring in oil bath,"Chain, 34/46 ratio primary drive",5.90 litres/100 km (16.9 km/l or 39.87 mpg),136.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Black, 2-1-2 dual exhaust with tapered mufflers",26.0°,170 mm (6.7 inches),,,,0.2451 HP/kg,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer; dual trip meter; low fuel indicator light and mileage countdown feature; low oil pressure indicator light; engine diagnostics readout; LED indicator lights; 6-speed indicator light",,,"High beam, running lights, front fender running lights, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system (optional), 6-speed, low fuel warning, cruise control (optional), ABS (optional)",Saddle bags,,4.90 litres (5.18 US quarts),,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville Bobber,2018,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1200.0 ccm (73.22 cubic inches),"Twin, four-stroke",77.0 HP (56.2  kW)) @ 6550 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 4000 RPM,10.0:1,97.6 x 80.0 mm (3.8 x 3.1 inches),Liquid,6-speed,Chain   (final drive),"Tubular steel cradle. Twin-sided, tubular steel swing arm.",KYB 41mm forks,KYB monoshock with linkage,Single disc. ABS. Nissin 2-piston floating caliper,255 mm (10.0 inches),Single disc. ABS.  Nissin single piston floating caliper.,,,"690 mm (27.2 inches) If adjustable, lowest setting.",1025 mm (40.4 inches),2235 mm (88.0 inches),800 mm (31.5 inches),,1510 mm (59.4 inches),10.60 litres (2.80 US gallons),"Jet Black, Morello Red, Crannberry Red/Frozen Silver, Ironstone",Electric,,Injection. Multipoint sequential electronic fuel injection with SAI,Wet sump,100/90-19 ,150/80-R16 ,228.0 kg (502.7 pounds),270° crank angle parallel twin,4,Single Overhead Cams (SOHC),Digital-inductive type via engine management system,"Wet, multi-plate assist clutch",X ring chain. Primary drive: Gear.,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,25.8°,88 mm (3.5 inches),90 mm (3.5 inches),77 mm (3.0 inches),Solo seat,0.3377 HP/kg,,"LCD multi-functional instrument pack with analogue speedometer, odometer, gear position indicator, fuel gauge",24 months unlimited milage,,,,,4.50 litres (4.76 US quarts),,,,10W-40/50 Synthetic,,DOT 4,2.00 litres (0.53 US gallons),,LMAR8A-9,,525,108,17/37 (front/rear),33 PSI (2.3 Bar or 230 kPa),38 PSI (2.6 Bar or 260 kPa),47 mm (1.9 inches),,,,,
Triumph Rocket III Roadster,2018,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",2294.0 ccm (139.98 cubic inches),"In-line three, four-stroke",148.0 HP (108.0  kW)) @ 5750 RPM,221.0 Nm (22.5 kgf-m or 163.0 ft.lbs) @ 2750 RPM,8.7:1,101.6 x 101.6 mm (4.0 x 4.0 inches),Liquid,5-speed,Shaft drive (cardan)   (final drive),"Tubular steel, twin spine. Twin-sided, steel swing arm.",Kayaba 43 mm upside down forks,Kayaba black spring twin shocks with 5 position adjustable preload. ,Double disc. Nissin 4-piston fixed calipers. ABS system.,316 mm (12.4 inches),Single disc. Nissin 4-piston fixed calipers. ABS system.,Cast aluminum alloy 5 spoke,,"750 mm (29.5 inches) If adjustable, lowest setting.",1165 mm (45.9 inches),2500 mm (98.4 inches),970 mm (38.2 inches),,1695 mm (66.7 inches),24.00 litres (6.34 US gallons),"Matt Phantom Black, Phantom Black",Electric,,Injection. Multipoint sequential electronic fuel injection with twin butterflies and progressive linkage on primary butterflies,,150/80-R17 ,240/50-R16 ,334.0 kg (736.3 pounds),Counter rotating crankshaft,,Double Overhead Cams/Twin Cam (DOHC),,Wet. multi-plate,,8.11 litres/100 km (12.3 km/l or 29.00 mpg),188.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Stainless steel 3 into 1 into 2. large volume catalysts in front of chrome-plated exhaust,32.0°,148 mm (5.8 inches),120 mm (4.7 inches),105 mm (4.1 inches),,0.4431 HP/kg,,"Analogue speedometer featuring LCD odometer, trip information, clock and analogue tachometer featuring fuel level indicator, gear position indicator",2 year unlimited mileage,,,,,5.90 litres (6.23 US quarts),,,,,,,,,,,,,,,,,,,,,
