Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Transmission type,Driveline,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Factory warranty,Engine details,Power,Torque,Top speed,Max RPM,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Diameter,Wheels,Seat,Dry weight,Power/weight ratio,Instruments,Electrical,Comments,Lubrication system,Trail,Alternate seat height,Oil capacity,Light,Carrying capacity,Engine oil,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Exhaust system,Ignition,Reserve fuel capacity,Service interval,Modifications compared to previous model,Sprockets,Spark plugs,Chain size,Chain links,0-100 km/h (0-62 mph),Battery,Oil filter,Pulley teeth,"60-140 km/h (37-87 mph), highest gear",Belt teeth,1/4 mile (0.4 km)
Yamaha Super Tenere ES,2022,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1199.0 ccm (73.16 cubic inches),"Twin, four-stroke",11.0:1,98.0 x 79.5 mm (3.9 x 3.1 inches),4,Injection. Fuel Injection with YCC-T,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive (cardan)   (final drive),Constant mesh,43mm inverted fork; electronically adjustable compression and rebound damping;,191 mm (7.5 inches),"Monoshock, adjustable preload and rebound damping",191 mm (7.5 inches),110/80-R19 ,150/70-R17 ,Double disc. ABS and Unified Braking System (UBS),Single disc. ABS and Unified Braking System (UBS),264.9 kg (584.0 pounds),"846 mm (33.3 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),2256 mm (88.8 inches),980 mm (38.6 inches),,1539 mm (60.6 inches),23.09 litres (6.10 US gallons),Matte Raven Black,Electric,1 Year Limited Factory Warranty,,112.0 HP (81.8  kW)) @ 7250 RPM,117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 6000 RPM,,,6-speed,Multi-plate wet clutch,5.47 litres/100 km (18.3 km/l or 43.00 mpg),126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Steel tube backbone,28.0°,282 mm (11.1 inches),,,,,,,Electronically adjusted suspension. Traction control. Windshield. ,Dry sump,126 mm (5.0 inches),,4.20 litres (4.44 US quarts),,"Side bags, top case ",,,,,,,,,Transistor Controlled Ignition,,,,,,,,,,,,,,
Yamaha XSR700,2022,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,689.0 ccm (42.04 cubic inches),"Twin, four-stroke",11.5:1,80.0 x 68.6 mm (3.1 x 2.7 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),Constant Mesh,41mm telescopic fork,130 mm (5.1 inches),"Single shock, adjustable preload",130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. Hydraulic. ABS.,Single disc. Hydraulic single disc,186.0 kg (410.0 pounds),"835 mm (32.9 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2075 mm (81.7 inches),820 mm (32.3 inches),140 mm (5.5 inches),1405 mm (55.3 inches),14.00 litres (3.70 US gallons),Raven,Electric,1 Year Limited Factory Warranty,Vibration-reducing counterbalancer,73.8 HP (53.8  kW)) @ 9000 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 6500 RPM,,,6-speed,"Wet, multiplate",4.06 litres/100 km (24.6 km/l or 57.94 mpg),94.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4 ,Diamond,25.0°,245 mm (9.6 inches),10-spoke cast aluminum. Michelin® Road 5 tyres,Two-level seat,,,LCD panel,,,Wet sump,90 mm (3.5 inches),,2.70 litres (2.85 US quarts),LED Headlight,,,,,,,,,,Transistor Controlled Ignition,,,,,,,,,,,,,,
Harley-Davidson Sportster S ,2022,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1252.1 ccm (76.40 cubic inches),"V2, four-stroke",12.0:1,105.0 x 72.3 mm (4.1 x 2.8 inches),,Injection. Electronic Sequential Port Fuel Injection (ESPFI),,Air,Belt   (final drive),,"43 mm inverted fork with compression, rebound and spring preload adjustability. Aluminum fork triple clamps.",,"Linkage-mounted, piggyback monoshock with compression, rebound and hydraulic spring preload adjustability",,160/70-ZR17 ,180/70-R16 ,"Single disc. ABS. Radially mounted, monoblock, 4-piston caliper","Single disc. ABS. Floating, single piston caliper",227.7 kg (502.0 pounds),"734 mm (28.9 inches) If adjustable, lowest setting.",,2271 mm (89.4 inches),,76 mm (3.0 inches),1519 mm (59.8 inches),11.73 litres (3.10 US gallons),"Vivid Black, White Sand Pearl, Mineral Green Metallic",Electric,,Revolution Max 1250T engine,121.0 HP (88.3  kW)) @ 7500 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 6000 RPM,,,6-speed,Multi-plate with diaphragm spring in oil bath,4.80 litres/100 km (20.8 km/l or 49.00 mpg),111.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,30.0°,,"Aluminum cast, satin black",,220.9 kg (487.0 pounds),0.5478 HP/kg,"4 inch TFT display with speedometer, gear, odometer, fuel level, clock, trip, ambient temp, low temp alert, side stand down alert, TIP over alert, cruise, range and tachometer indication BT capable - phone pairing to access phone calls, music, navigation",,Bluetooth. Cruise control. Traction control. Ride moedes.,,147 mm (5.8 inches),,4.50 litres (4.76 US quarts),LED headlamp,,,,,,,,,"2-into-1-into-2, catalyst in muffler",,,,,,,,,,,,,,,
Honda CRF400RX Enduro,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,413.0 ccm (25.20 cubic inches),"Single cylinder, four-stroke",13.0:1,92.0 x 62.1 mm (3.6 x 2.4 inches),4,"Injection. Programmed Fuel Injection (PGM-FI), 46mm downdraft throttle body",Single Overhead Cams (SOHC),Liquid,Chain   (final drive),,49mm leading-axle inverted telescopic Showa coil-spring fork with rebound and compression damping adjustability,310 mm (12.2 inches),"Pro-Link Showa single shock with adjustable spring preload, rebound and compression damping adjustability",312 mm (12.3 inches),90/90-21 ,120/90-18 ,Single disc. Hydraulic. Two-piston calipers.  ,Single disc. Hydraulic,111.8 kg (246.5 pounds),"965 mm (38.0 inches) If adjustable, lowest setting.",1282 mm (50.5 inches),2182 mm (85.9 inches),839 mm (33.0 inches),336 mm (13.2 inches),1481 mm (58.3 inches),7.95 litres (2.10 US gallons),Red/white/blue,Electric,,,,,,,5-speed,Multi plate wet,,,,Aluminium frame and swingarm,27.7°,240 mm (9.4 inches),Dunlop Geomax AT81 tires.,,,,,Lithium-iron-phosphate battery,Part of RedMoto Honda range in Europe. All bikes are built in-house using the race team for all R and D. ,,114 mm (4.5 inches),,1.30 litres (1.37 US quarts),LED lighting,,,,,,,,,,DC-CDI,,,New ECU settings. New hydraulic clutch.,,,520,,,,,,,,
Yamaha Bolt R-Spec,2022,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,942.0 ccm (57.48 cubic inches),"V2, four-stroke",9.0:1,85.0 x 83.0 mm (3.3 x 3.3 inches),4,Injection,Single Overhead Cams (SOHC),Air,Belt   (final drive),,Telescopic fork 41mm,120 mm (4.7 inches),Dual piggyback shocks,70 mm (2.8 inches),100/90-19 ,150/80-16 ,Single disc. Wave-type disc,Single disc. Wave-type disc,245.9 kg (542.0 pounds),"690 mm (27.2 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),2290 mm (90.2 inches),945 mm (37.2 inches),130 mm (5.1 inches),1570 mm (61.8 inches),13.00 litres (3.43 US gallons),Storm Gray,Electric,1 Year Limited Factory Warranty,,,80.4 Nm (8.2 kgf-m or 59.3 ft.lbs) @ 3000 RPM,,,5-speed,Multiplate wet clutch,4.61 litres/100 km (21.7 km/l or 51.02 mpg),107.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Aluminum double-cradle,29.0°,298 mm (11.7 inches),12-spoke cast alloy. Bridgestone® EXEDRA G721 tires,Solo saddle,,,LCD meter,,,Wet Sump,130 mm (5.1 inches),,,,,,,,,,,,2-into-1 exhaust pipe,Transistor Controlled Ignition,,,,,,,,,,,,,,
Macbor Rockster Flat 125,2022,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",9.5:1,52.4 x 57.8 mm (2.1 x 2.3 inches),2,Injection. Delphi,,Air,Chain   (final drive),,Hydraulic telescopic fork diam. 37 mm,,Dual shocks,,90/90-18 ,130/90-15 ,Single disc. Combines braking system,Single disc,,"730 mm (28.7 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2090 mm (82.3 inches),870 mm (34.3 inches),145 mm (5.7 inches),1435 mm (56.5 inches),13.50 litres (3.57 US gallons),"Matte black, Yellow, Blue",Electric,,,10.5 HP (7.6  kW)) @ 8500 RPM,9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 6000 RPM,,,5-speed,,,,Euro 5,,,240 mm (9.4 inches),,,127.0 kg (280.0 pounds),0.0824 HP/kg,Digital LCD / Analogue,,Spanish brand.,,,,,LED,,,,,,,,,,ECU,,,,,,,,,,,,,,
Vespa GTS Super 300 Tech,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,278.3 ccm (16.98 cubic inches),"Single cylinder, four-stroke",,75.0 x 63.0 mm (3.0 x 2.5 inches),4,Injection. EFI,,Liquid,Belt   (final drive),CVT automatic with torque server ,Single arm with helical spring and hydraulic shock absorber,,Double hydraulic shock absorber with helical spring with preload adjustable in 4 positions,,120/70-12 ,130/70-12 ,Single disc. ABS. Hydraulic.,Single disc. ABS. Hydraulic.,,"790 mm (31.1 inches) If adjustable, lowest setting.",1375 mm (54.1 inches),1950 mm (76.8 inches),755 mm (29.7 inches),,1375 mm (54.1 inches),8.50 litres (2.25 US gallons),Black,Electric,"2 years, unlimited mileage",Catalysed HPE engine,23.8 HP (17.4  kW)) @ 8250 RPM,26.0 Nm (2.7 kgf-m or 19.2 ft.lbs) @ 5250 RPM,,,Automatic,Automatic dry centrifugal with shock absorbers ,3.21 litres/100 km (31.2 km/l or 73.28 mpg),74.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,Sheet steel shell with welded structural reinforcements,,220 mm (8.7 inches),Black aluminium alloy wheel rims,Dual seat,158.0 kg (348.3 pounds),0.1506 HP/kg,,,Traction control. USB socket.,,,,,,Underseat storage,,,,,,,,,CDI,,,,,,,,,,,,,,
Triumph Street Twin,2022,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,900.0 ccm (54.92 cubic inches),"Twin, four-stroke",11.0:1,84.6 x 80.0 mm (3.3 x 3.1 inches),4,Injection. Multipoint sequential electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),,41mm cartridge forks,120 mm (4.7 inches),Twin RSUs with preload adjustment,120 mm (4.7 inches),100/90-18 ,150/70-R17 ,Single disc. ABS. Floating discs. Brembo 4-piston calipers. ,Single disc. ABS. Floating disc. Nissin 2-piston calipers. ,215.9 kg (476.0 pounds),"765 mm (30.1 inches) If adjustable, lowest setting.",1110 mm (43.7 inches),,780 mm (30.7 inches),,1450 mm (57.1 inches),12.11 litres (3.20 US gallons),"Cobalt Blue, Jet Black, Matt Ironstone",Electric,,270° crank angle,65.0 HP (47.4  kW)) @ 7500 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 3800 RPM,,,5-speed,Wet. multi-plate assist,3.87 litres/100 km (25.8 km/l or 60.78 mpg),89.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Tubular steel, with twin cradles",25.1°,255 mm (10.0 inches),Cast aluminium alloy multi-spoke,,,,Analogue speedometer with LCD multi-functional display,,"Ride-by-wire throttle with switchable traction control. 2 riding modes, road and rain.",,102 mm (4.0 inches),,3.80 litres (4.02 US quarts),,,,,,,,,,Brushed stainless steel 2 into 2 exhaust system with twin silencers,,,"10,000 miles/16,000 km/12 months",,,,,,,,,,,,
Hadin Panther,2022,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,Air,Belt   (final drive),Gates belt,Telescopic fork,,Dual shocks,,140/70-17 ,160/60-17 ,Double disc. ABS,Single disc. ABS,270.0 kg (595.2 pounds),"870 mm (34.3 inches) If adjustable, lowest setting.",1150 mm (45.3 inches),2350 mm (92.5 inches),950 mm (37.4 inches),145 mm (5.7 inches),1650 mm (65.0 inches),,"Blue, custom color",Electric,,Asynchronus induction motor.,60.4 HP (44.1  kW)),,130.0 km/h (80.8 mph),15000,,,,,,Aluminium trellis,,300 mm (11.8 inches),Pirelli tires.,Solo seat,,,LCD 7 inch screen,,"California brand. Production in China. 3 riding modes: Soft, Normal and Hard. Range  220 km. Panasonic Lithium Battery.",,,,,Headlights with four LED lenses,,,,,,,,,,,,,,,,,,,,,,,,
Motoposh Boss 125,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,,Chain   (final drive),,Telescopic fork,,Dual shocks,,2.50-17 ,2.75-17 ,Single disc,Expanding brake (drum brake),,,,,,,,4.00 litres (1.06 US gallons),"Red, blue, yellow, black",Electric,,,,,,,4-speed,Double Type,,,,Underbone,,,,,88.0 kg (194.0 pounds),,,,Sold in Asia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Evo 2T 250,2022,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.7 ccm (15.24 cubic inches),"Single cylinder, two-stroke",9.0:1,72.5 x 60.5 mm (2.9 x 2.4 inches),,Carburettor. Keihin PWK 28mm,,Liquid,Chain   (final drive),,Hydraulic fork,165 mm (6.5 inches),Hydraulic monoshock,180 mm (7.1 inches),2.75-21 ,4.00-18 ,Single disc. 4 piston caliper,Single disc. 2 piston caliper,,"660 mm (26.0 inches) If adjustable, lowest setting.",1115 mm (43.9 inches),1990 mm (78.3 inches),850 mm (33.5 inches),310 mm (12.2 inches),1305 mm (51.4 inches),2.80 litres (0.74 US gallons),Red/white/black,,,Lamellar induction in the crankcase,,,,,6-speed,Wet multi-disc clutch with cush-drive rubber,2.90 litres/100 km (34.5 km/l or 81.11 mpg),67.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Single wave aluminium beam,,160 mm (6.3 inches),,,66.0 kg (145.5 pounds),,,,,1.5% synthetic oil mix,,,0.90 litres (0.95 US quarts),,,,,,,,,,,Hidria ,0.50 litres (0.13 US gallons),,,,,,,,,,,,,
Cleveland Ace 400,2022,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,397.0 ccm (24.22 cubic inches),"Single cylinder, four-stroke",8.8:1,85.0 x 70.0 mm (3.3 x 2.8 inches),,Injection. Delphi,Single Overhead Cams (SOHC),Oil & air,Chain   (final drive),,Inverted forks,,Twin coil over oil damped shocks,,90/90-18 ,120/80-16 ,"Double disc. ABS, 4 piston radial mount caliper",Single disc. ABS,150.0 kg (330.7 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),2050 mm (80.7 inches),795 mm (31.3 inches),180 mm (7.1 inches),1410 mm (55.5 inches),15.00 litres (3.96 US gallons),"Black, red, blue",Electric & kick,,,42.2 HP (30.8  kW)) @ 9500 RPM,35.4 Nm (3.6 kgf-m or 26.1 ft.lbs) @ 7650 RPM,,,5-speed,"Wet, multiplate",,,,"Tubular backbone, double cradle",,220 mm (8.7 inches),Wire spoked,,,,,,US brand also called Cleveland Cycle Werks (CCW). Bike made in China.,,,,,,,,,,,,,,,CDI,,,,,,,,,,,,,,
Benelli 502 Cruiser,2022,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,500.0 ccm (30.51 cubic inches),"Twin, four-stroke",11.5:1,69.0 x 66.8 mm (2.7 x 2.6 inches),4,Injection. Electronic fuel injection with double throttle body ø 37 mm,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),,Upside-down forks Ø 41mm,125 mm (4.9 inches),Rear swing arm with central shock absorber spring preload adjustable,50 mm (2.0 inches),120/70-ZR17 ,160/60-ZR17 ,"Double disc. 4-piston, ABS","Single disc. Single piston calliper, ABS",,"750 mm (29.5 inches) If adjustable, lowest setting.",1235 mm (48.6 inches),2280 mm (89.8 inches),940 mm (37.0 inches),170 mm (6.7 inches),1600 mm (63.0 inches),21.00 litres (5.55 US gallons),"Black, Red, Blue",Electric,,,47.6 HP (34.7  kW)) @ 8500 RPM,45.0 Nm (4.6 kgf-m or 33.2 ft.lbs) @ 5000 RPM,,,6-speed,Wet multidisc,4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4. Catalytic converter and oxygen sensors.,Trestle in steel tubes,,240 mm (9.4 inches),Aluminum alloy (optional aluminium rim spoked ),,217.0 kg (478.4 pounds),0.2194 HP/kg,All-digital display,,,Forced lubrication with wet sump,,"825 mm (32.5 inches) If adjustable, highest setting.",,,,,,,,,,,,ECU - TLI,3.00 litres (0.79 US gallons),,,,NGK CR8E,,,,,,,,,
Honda CRF1000L Adventure Sports,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1084.0 ccm (66.15 cubic inches),"Twin, four-stroke",10.0:1,92.0 x 81.5 mm (3.6 x 3.2 inches),4,"Injection. Programmed Fuel Injection, 46 mm",Single Overhead Cams (SOHC),Liquid,Chain   (final drive),O-ring sealed chain,"Inverted telescopic fork, Showa",230 mm (9.1 inches),"Pro-Link® system w/ single shock, Showa",220 mm (8.7 inches),90/90-21 ,150/70-18 ,Double disc. Switchable ABS. 4-piston calipers and sintered metal pads,Single disc. Switchable ABS. 2-piston caliper and sintered metal pads.,238.0 kg (524.7 pounds),"850 mm (33.5 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),2334 mm (91.9 inches),961 mm (37.8 inches),250 mm (9.8 inches),1575 mm (62.0 inches),18.77 litres (4.96 US gallons),"Pearl Glare White, Matte Ballistic Black Metallic
",Electric,1 year,,100.6 HP (73.4  kW)) @ 7500 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 6250 RPM,,,6-speed,"Wet, multi-plate with coil springs, aluminum cam assist and slipper clutch",4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Meets current EPA standards. Models sold in California meet current CARB standards and may differ slightly due to emissions equipment.,Steel semi-double cradle type with high-tensile strength steel rear sub-frame,27.5°,256 mm (10.1 inches),Wire spoked,,,,,12V 6Ah Li-ion battery,On and off-road riding modes. Small windscreen. ,,113 mm (4.4 inches),"870 mm (34.3 inches) If adjustable, highest setting.",4.90 litres (5.18 US quarts),LED headlight,,,,,,,,,,Full transistorized ignition,,,,,,,,,,,,,,
Peugeot Speedfight 50 ,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.9 ccm (3.04 cubic inches),"Single cylinder, four-stroke",,39.9 x 39.8 mm (1.6 x 1.6 inches),,Injection,,Air,Belt   (final drive),,"Hydraulic telescopic fork, 32mm",,"Hydraulic shock absorber, 50 mm",,130/60-13 ,130/60-13 ,Single disc. Shuricane ,Single disc,104.0 kg (229.3 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",1150 mm (45.3 inches),1895 mm (74.6 inches),700 mm (27.6 inches),,1296 mm (51.0 inches),8.00 litres (2.11 US gallons),"White/yellow, Red, Black",Electric & kick,,,3.0 HP (2.2  kW)) @ 8000 RPM,3.6 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 6000 RPM,45.0 km/h (28.0 mph),,Automatic,,,,Euro 5,,,190 mm (7.5 inches),,,97.0 kg (213.8 pounds),0.0304 HP/kg,Digital  ,,,,,,,,Underseat storage,,,,,,,,,,,,,,,,,,,,,,,
Rieju MR 250 Pro,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.5 ccm (15.22 cubic inches),"Single cylinder, two-stroke",,72.0 x 72.0 mm (2.8 x 2.8 inches),,Carburettor. Kehin PWK 38,,Liquid,Chain   (final drive),,"KYB 48 mm, AOS System, Closed Cartridge Anti-Friction Treatment DLC",300 mm (11.8 inches),Shock absorber with gas tank KYB,131 mm (5.2 inches),90/90-21 ,140/80-18 ,Single disc. Nissin Clamp  and  Pump Assembly,Single disc. Nissin Clamp  and  Pump Assembly,,"950 mm (37.4 inches) If adjustable, lowest setting.",1235 mm (48.6 inches),2145 mm (84.4 inches),810 mm (31.9 inches),,1480 mm (58.3 inches),9.80 litres (2.59 US gallons),Red/white/black/beige,Electric & kick,,Direct reed valve VForce 4,,,,,6-speed,Multidisc in oil bath. Magura clutch pump.,,,Euro 5,Central spine in Chromium Molybdenum Steel. Aluminum subframe.,,200 mm (7.9 inches),"Aluminium alloy, wire spoked. Michelin Enduro Medium tires.",Non-slip bicolor Enduro Pro,105.0 kg (231.5 pounds),,,,Spanish brand. Ride modes: rain or dry.,,,,,,,,,,,,,,Tecnigas,Digital CDi,,,,,,,,,,,,,,
California Scooter TT250 Dual Sport,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,229.5 ccm (14.00 cubic inches),"Single cylinder, four-stroke",8.7:1,67.0 x 65.0 mm (2.6 x 2.6 inches),,Carburettor,,Oil & air,Chain   (final drive),,"Inverted Telescopic, 48mm upper, 37mm lower",157 mm (6.2 inches),Monoshock with preload adjustment,165 mm (6.5 inches),3.00-21 ,4.60-18 ,Single disc,Single disc,,"864 mm (34.0 inches) If adjustable, lowest setting.",1118 mm (44.0 inches),2108 mm (83.0 inches),813 mm (32.0 inches),292 mm (11.5 inches),1397 mm (55.0 inches),10.98 litres (2.90 US gallons),"Black, Blue, Gray, White",Electric,"2 years unlimited mileage. The first year is parts and labor, the second year is parts only.",,16.0 HP (11.7  kW)) @ 7000 RPM,18.3 Nm (1.9 kgf-m or 13.5 ft.lbs) @ 5500 RPM,96.6 km/h (60.0 mph),,5-speed,,,,,Tubular steel,27.0°,220 mm (8.7 inches),Wire spoked,,140.2 kg (309.0 pounds),0.1142 HP/kg,"Dash with digital speedometer, tachometer, odometer, fuel gauge, gear indicator, neutral light, turn signal and high beam indicators.",,Brand often abbreviated CSC. Made in China.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Fascino 125Fi,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",10.2:1,52.0 x 57.9 mm (2.0 x 2.3 inches),2,Injection,Single Overhead Cams (SOHC),Air,Belt   (final drive),V-Belt Automatic,Telescopic fork,,Unit Swing,,90/90-12 ,90/100-10 ,Single disc. Optional drum. Unified Brake System.,Expanding brake (drum brake),99.0 kg (218.3 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",1150 mm (45.3 inches),1920 mm (75.6 inches),685 mm (27.0 inches),145 mm (5.7 inches),1280 mm (50.4 inches),5.20 litres (1.37 US gallons),"Vivid Red, Yellow Cocktail, Cyan Blue, Matte Blue, Metallic Black, Dark Matte Blue, Sauve Copper, Matte Black",Electric & kick,,,8.2 HP (6.0  kW)) @ 6500 RPM,10.3 Nm (1.1 kgf-m or 7.6 ft.lbs) @ 5000 RPM,,,Automatic,"Dry, centrifugal",,,,Underbone,,190 mm (7.5 inches),,,,,LCD instruments,"12 V, 5 AH(10 H) battery.",Sold in Asia.,Wet Sump,,,,LED headlight,21L Large Under-Seat Storage,,,,,,,,,CDI,,,,,,,,,,,,,,
FB Mondial Sport Classic 300,2022,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",11.5:1,77.0 x 53.6 mm (3.0 x 2.1 inches),4,Injection,Single Overhead Cams (SOHC),Liquid,Chain   (final drive),,USD hydraulyc fork,97 mm (3.8 inches),Double shock absorbers,120 mm (4.7 inches),100/80-17 ,130/70-17 ,Single disc. Four-piston calipers. ABS.,Single disc. Floating disc. Single-piston caliper. ABS.,153.0 kg (337.3 pounds),"804 mm (31.7 inches) If adjustable, lowest setting.",1146 mm (45.1 inches),2009 mm (79.1 inches),800 mm (31.5 inches),130 mm (5.1 inches),1360 mm (53.5 inches),9.50 litres (2.51 US gallons),"Gun Barrel Red, Gun Barrel Blue",Electric,,,22.8 HP (16.6  kW)) @ 8500 RPM,22.5 Nm (2.3 kgf-m or 16.6 ft.lbs) @ 6500 RPM,,,6-speed,,,,,,,220 mm (8.7 inches),Wire spoked,Dual seat,,,,,Italian brand. Model also called FB Mondial  Pagani 1948. Windscreen. Removable seat cover.,Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,
