Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Transmission type,Frame type,Rake (fork angle),Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Wheelbase,Compression,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Trail,Front wheel travel,Rear wheel travel,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Fuel capacity,Color options,Starter,Comments,Diameter,Reserve fuel capacity,Valves per cylinder,Alternate seat height,"Weight incl. oil, gas, etc",Top speed,Engine details,Driveline,Engine oil,Oil filter,Battery,Spark plugs,Chain size,Chain links,Sprockets,Max RPM,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Oil capacity,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Wheels,Electrical,Belt width,Pulley teeth,1/4 mile (0.4 km),Belt teeth
Kymco People,2006,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.5 ccm (3.02 cubic inches),"Single cylinder, two-stroke",5.1 HP (3.7  kW)) @ 7000 RPM,5.5 Nm (0.6 kgf-m or 4.1 ft.lbs) @ 6500 RPM,,Carburettor,,,,Air,,,,,,80/80-16 ,100/80-16 ,Single disc,Expanding brake (drum brake),,,,,,,,,,,,95.5 kg (210.5 pounds),0.0533 HP/kg,1075 mm (42.3 inches),1850 mm (72.8 inches),685 mm (27.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTC Heritage Softail Classic,2006,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1442.2 ccm (88.00 cubic inches),"V2, four-stroke",,115.3 Nm (11.8 kgf-m or 85.0 ft.lbs) @ 3000 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),Carburettor,,,,Air,Belt   (final drive),,32.0°,,,MT90-B16 ,150/80-B16 ,Single disc,Single disc,"648 mm (25.5 inches) If adjustable, lowest setting.",1638 mm (64.5 inches),8.9:1,5-speed,Multi-plate clutch with diaphragm spring in oil bath,5.34 litres/100 km (18.7 km/l or 44.05 mpg),123.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, staggered shorty duals",147 mm (5.8 inches),,,326.1 kg (719.0 pounds),,,2400 mm (94.5 inches),,130 mm (5.1 inches),18.92 litres (5.00 US gallons),"Vivid black, brilliant silver, black cherry, deep cobalt, glacier white pearl, rich sunglo blue, brandy wine sunglo, two-tone rich sunglo blue and chopper blue, two-tone black cherry and black pearl, two-tone fire red pearl and vivid black, two-tone deep",,"Detachable, king-size touring windshield. Leather studded saddlebags with hidden quick detach buckles. Passenger backrest. Touring handlebar. Full front fender with chrome accents.
",292 mm (11.5 inches),,2,"696 mm (27.4 inches) If adjustable, highest setting.",340.2 kg (750.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS TXT 125 Pro,2006,Trial," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",,,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor.  Dell´Orto PHBHL 26 BS.,,"CDI Kokusan, digital magnetic flywheel.",Engine oil continuous with bypass.,,Chain   (final drive),Eliptic profile in CrMo.,,40 mm adjustable telehidraulic Marzocchi* fork.,Variable progressive system with single Sachs* shock absorber.,,,Single disc,Single disc,"665 mm (26.2 inches) If adjustable, lowest setting.",1330 mm (52.4 inches),,6-speed,Command hidrulic of 1/3 discs progressif variable with diafragm of Gas Gas* (Patented),,,,,,,65.8 kg (145.0 pounds),,,,,,3.10 litres (0.82 US gallons),,Kick,,150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing SMR 530 F e.s.,2006,Super motard," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",527.7 ccm (32.20 cubic inches),"Single cylinder, four-stroke",,,98.0 x 70.0 mm (3.9 x 2.8 inches),Carburettor.  Mikuni TDMR 41mm,Double Overhead Cams/Twin Cam (DOHC),Kokusan CDI Electronic with variable advance,Dry sump with double rotor pump,Liquid,,Cr-Mo steel Perimetral oval section,,,,120/70-ZR17 ,150/60-ZR17 ,Single disc,Single disc,,,16.7:1,5-speed,Multiuple-disk in oil-bath with hydaulic control,,,,,,,,,,,,,8.00 litres (2.11 US gallons),Blue,Electric & kick,,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RM 125,2006,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",,,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor.  Mikuni,,Digital CDI,Premix,,Chain   (final drive),,,"Telescopic, 22 compression  and  20 rebound settings, 12.2 inches of wheel travel","Link-type, spring preload fully-adjustable, 4 high-speed, 16 low-speed compression settings, 19 rebound settings, 12.2 inches of wheel travel",80/90-M21 ,110/90-M19 ,Single disc,Single disc,"950 mm (37.4 inches) If adjustable, lowest setting.",1450 mm (57.1 inches),8.3:1,6-speed,,,,,,,,87.0 kg (191.8 pounds),,1275 mm (50.2 inches),2145 mm (84.4 inches),830 mm (32.7 inches),350 mm (13.8 inches),8.00 litres (2.11 US gallons),Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 640 LC4 Supermoto Orange,2006,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",53.6 HP (39.2  kW)) @ 6750 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 5750 RPM,101.0 x 78.0 mm (4.0 x 3.1 inches),Carburettor.  Mikuni BST 40,Overhead Cams (OHC),Kokusan DC-CDI,Pressure lubrication,Liquid,Chain   (final drive),"Double ground, chrome-moly-steel frame, powder-coated",27.0°,WP-USD 48 mm (1.89 inches),WP-Monoshock with Pro-Lever linkage,120/70-17 ,160/60-17 ,Single disc,Single disc,"910 mm (35.8 inches) If adjustable, lowest setting.",1510 mm (59.4 inches),11.7:1,5-speed,"Multi-disc wet clutch, hydraulically operated",,,,99 mm (3.9 inches),300 mm (11.8 inches),335 mm (13.2 inches),149.0 kg (328.5 pounds),0.3600 HP/kg,,,640 mm (25.2 inches),280 mm (11.0 inches),9.20 litres (2.43 US gallons),,Electric & kick,Not available in the US.,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TC 250,2006,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.5 ccm (15.22 cubic inches),"Single cylinder, four-stroke",,,76.0 x 55.0 mm (3.0 x 2.2 inches),Carburettor.  37mm Keihin FCR,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,Chain   (final drive),,,Marzoochi,Ohlins,,,Single disc,Single disc,,,,5-speed,Wet / Multiplate,,,,,,,95.3 kg (210.2 pounds),,,,,,,,,,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecosse Heretic Ag,2006,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1868.2 ccm (114.00 cubic inches),"V2, four-stroke",167.6 HP (122.4  kW)),130.0 Nm (13.3 kgf-m or 95.9 ft.lbs),101.6 x 108.0 mm (4.0 x 4.3 inches),Carburettor.  Mikuni 42mm flat slide,,,,,,Crome-Molybdenium,25.0°,Öhlins for ECOSSE.,"Öhlins for ECOSSE,",120/70-ZR17 ,190/70-ZR17 ,Double disc. 6-piston calipers,Single disc. 2-piston calipers,"698 mm (27.5 inches) If adjustable, lowest setting.",1537 mm (60.5 inches),10.3:1,6-speed,,,,Handcrafted by ECOSSE. 2 into 1,,,,208.7 kg (460.0 pounds),0.8034 HP/kg,,,,165 mm (6.5 inches),,Silver,Electric,"Carbon fiber headlight, fenders, tank,
tail, tach shroud, air filter cover  and 
seat pans.",260 mm (10.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piaggio X9 Evolution 125,2006,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",39.0 HP (28.5  kW)) @ 10000 RPM,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 8000 RPM,57.0 x 48.6 mm (2.2 x 1.9 inches),,,,Separate with automatic mixer,Liquid,Belt   (final drive),"Double cradle, high strength steel tube",,"Telescopic hydraulic fork, stanchions Ø 35 mm, stroke 90 mm",Twin hydraulic shock absorbers with preload adjuster,120/70-14 ,140/60-14 ,Double disc,Single disc,"790 mm (31.1 inches) If adjustable, lowest setting.",1500 mm (59.1 inches),12.0:1,Automatic,Automatic centrifuge type,,,,,,,,,,2130 mm (83.9 inches),700 mm (27.6 inches),,15.20 litres (4.02 US gallons),,Electric,,240 mm (9.4 inches),,,,179.0 kg (394.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Bet and Win,2006,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.5 ccm (3.02 cubic inches),"Single cylinder, two-stroke",5.0 HP (3.6  kW)) @ 7000 RPM,,,Carburettor,,,,Air,,,,,,120/70-12 ,120/70-12 ,Single disc,Expanding brake (drum brake),,,,Automatic,,,,,,,,87.0 kg (191.8 pounds),0.0570 HP/kg,1085 mm (42.7 inches),1883 mm (74.1 inches),690 mm (27.2 inches),,,Silver/black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti F15 Firefox Mechatronic,2006,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,,,,,Liquid,,,,,,120/70-12 ,130/70-12 ,Single disc,Single disc,"820 mm (32.3 inches) If adjustable, lowest setting.",1170 mm (46.1 inches),,,,,,,,,,96.0 kg (211.6 pounds),,,1780 mm (70.1 inches),695 mm (27.4 inches),,,Multicolored.,,,190 mm (7.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi GPR 50 Nude,2006,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,,Carburettor. Dell´Ortho PHVA 14,,Electronic C.D.I.,Oil pump,Liquid,Shaft drive (cardan)   (final drive),,,Inverted fork.,Monoshock,110/80-17 ,130/70-17 ,Single disc,Single disc,"800 mm (31.5 inches) If adjustable, lowest setting.",1311 mm (51.6 inches),11.5:1,6-speed,,,,,,120 mm (4.7 inches),110 mm (4.3 inches),,,1116 mm (43.9 inches),1961 mm (77.2 inches),788 mm (31.0 inches),,13.00 litres (3.43 US gallons),"Red, Black",Electric,,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 Nighthawk,2006,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",234.0 ccm (14.28 cubic inches),"Twin, four-stroke",,,53.0 x 53.0 mm (2.1 x 2.1 inches),Carburettor.  Single 26 mm CV,Single Overhead Cams (SOHC),CDI,,Air,Chain   (final drive),,35.0°,31.0 mm fork,Dual rear shocks with five-position spring-preload adjustability,90/90-18 ,120/90-16 ,Expanding brake (drum brake),Expanding brake (drum brake),"744 mm (29.3 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),9.2:1,5-speed,,,,,161 mm (6.3 inches),122 mm (4.8 inches),99 mm (3.9 inches),129.7 kg (286.0 pounds),,,,,,16.27 litres (4.30 US gallons),Metallic Silver,Electric,Model ID: CB250,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Sports Trail 110,2006,Trial," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",110.0 ccm (6.71 cubic inches),"Single cylinder, four-stroke",7.2 HP (5.3  kW)),,,Carburettor,,Kick,,Liquid,Chain   (final drive),,,Twin,Monoshock,,,Single disc,Expanding brake (drum brake),"660 mm (26.0 inches) If adjustable, lowest setting.",,,3-speed,,,,,,,,90.7 kg (200.0 pounds),0.0794 HP/kg,,,,,2.83 litres (0.75 US gallons),,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK Ovetto,2006,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",2.8 HP (2.0  kW)) @ 6750 RPM,3.0 Nm (0.3 kgf-m or 2.2 ft.lbs) @ 6500 RPM,40.0 x 39.2 mm (1.6 x 1.5 inches),,,Electronic (C.D.I.),Separate lubrication,Air,,,,Hydraulic and telescopic fork,Hydraulic unit swing,120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake),"790 mm (31.1 inches) If adjustable, lowest setting.",1280 mm (50.4 inches),11.6:1,,,,,,,,,82.0 kg (180.8 pounds),0.0341 HP/kg,1265 mm (49.8 inches),1840 mm (72.4 inches),671 mm (26.4 inches),135 mm (5.3 inches),24.60 litres (6.50 US gallons),,Electric & kick,,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLE 500,2006,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",44.3 HP (32.3  kW)),41.0 Nm (4.2 kgf-m or 30.2 ft.lbs) @ 4200 RPM,74.0 x 58.0 mm (2.9 x 2.3 inches),Carburettor. Keihin CVK34 x 2,Overhead Valves (OHV),Digital,,Liquid,Chain   (final drive),"Double-cradle, high-tensile steel",27.0°,220 mm,200 mm,90/90-M21 ,130/80-M17 ,Single disc,Single disc,"850 mm (33.5 inches) If adjustable, lowest setting.",1510 mm (59.4 inches),9.8:1,6-speed,,,,,,,,,,,2215 mm (87.2 inches),880 mm (34.6 inches),,15.00 litres (3.96 US gallons),,Electric,,230 mm (9.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos Youngst r Racing,2006,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",3.2 HP (2.3  kW)),,,Carburettor,,,,Air,,,,,,120/70-12 ,120/70-12 ,Single disc,Expanding brake (drum brake),,,,Automatic,,,,,,,,62.0 kg (136.7 pounds),0.0510 HP/kg,,,,,,,Electric & kick,,,,,,,45.0 km/h (28.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing SMX 660 F Competition,2006,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",657.2 ccm (40.10 cubic inches),"Single cylinder, four-stroke",,,104.0 x 77.4 mm (4.1 x 3.0 inches),Carburettor.  Keihin FCR 41mm,Double Overhead Cams/Twin Cam (DOHC),Kokusan CDI Electronic with variable advance,Dry sump with double rotor pump,Liquid,Chain   (final drive),Cr-Mo steel Perimetral oval section,,,,,,Single disc,Single disc,,,16.7:1,5-speed,Multiuple-disk in oil-bath with hydaulic control,,,,,,,,,,,,,8.00 litres (2.11 US gallons),Blue,Kick,,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot XR6 Sport,2006,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",1.8 HP (1.3  kW)) @ 6500 RPM,,40.3 x 39.0 mm (1.6 x 1.5 inches),,,,,Air,Chain   (final drive),,,,,90/90-16 ,120/90-16 ,Single disc,Single disc,,1265 mm (49.8 inches),,5-speed,,,,,,,,85.0 kg (187.4 pounds),0.0208 HP/kg,,1865 mm (73.4 inches),,150 mm (5.9 inches),,,,,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju SMX 50,2006,Super motard," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor. Dell´Orto,,,,Liquid,Chain   (final drive),Perimetral of double beam in steel of high resistance,,Upside Down Front Fork,Monoshock Absorder Progressive System,100/80-17 ,130/70-17 ,Single disc,Single disc,"900 mm (35.4 inches) If adjustable, lowest setting.",1332 mm (52.4 inches),,6-speed,,,,"Steel Tube Varnished, Racing Type With Protector",,,,94.5 kg (208.3 pounds),,1150 mm (45.3 inches),1970 mm (77.6 inches),,,8.40 litres (2.22 US gallons),,Electric & kick,,200 mm (7.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RM 250 ZK6 Ricky Carmichael Replica,2006,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor. Keihin PWK 38 SS,,,Premix,Liquid,Chain   (final drive),"New frame with reinforced tank rail, lower engine bracket, plus head pipe relocated 5mm rearward for increased straight line stability",,"Telescopic, 22 compression  and  20 rebound settings, 12.2 inches (310mm) of wheel travel","Link-type, spring preload fully-adjustable, 4 high-speed, 16 low-speed compression settings, 19 rebound settings 12.2 inches (310mm) of wheel travel",80/100-21 ,110/90-19 ,Single disc,Single disc,"950 mm (37.4 inches) If adjustable, lowest setting.",,8.6:1,5-speed,,,,*- Sub-exhaust port timing advanced and shape revised for optimum flow,,,,,,,,,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Minitrial,2006,"Minibike, cross"," 2.8  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,40.0 x 39.5 mm (1.6 x 1.6 inches),Carburettor,,,Fuel mix 1.5%,Air,,Steel,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,1020 mm (40.2 inches),13.9:1,Automatic,,,,,,,,42.0 kg (92.6 pounds),,940 mm (37.0 inches),1530 mm (60.2 inches),650 mm (25.6 inches),255 mm (10.0 inches),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Stratosphere,2006,Prototype / concept model," 3.5  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",1400.0 ccm (85.43 cubic inches),"In-line six, four-stroke",,,,,,Digital,,Liquid,Chain   (final drive),,,,,,,Double disc,Single disc,,,,,,,,,,,,,,1150 mm (45.3 inches),2100 mm (82.7 inches),720 mm (28.3 inches),,,,Electric,,120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLST Heritage Softail,2006,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1442.2 ccm (88.00 cubic inches),"V2, four-stroke",,115.3 Nm (11.8 kgf-m or 85.0 ft.lbs) @ 3000 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),Carburettor,Double Overhead Cams/Twin Cam (DOHC),,,Air,Belt   (final drive),,,,,MT90-B16 ,150/80-B16 ,Single disc,Single disc,,1638 mm (64.5 inches),8.9:1,5-speed,Multi-plate with diaphragm spring in oil bath,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, staggered shorty duals",,,,304.8 kg (672.0 pounds),,,2400 mm (94.5 inches),,130 mm (5.1 inches),18.92 litres (5.00 US gallons),"Vivid black, black cherry, fire red pearl, deep cobalt.",,,,,2,,318.9 kg (703.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ 125 SX,2006,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 9000 RPM,11.7 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 8500 RPM,,,,,,,,,,Telescopic fork,Rear monoshock,90/90-;21 ,120/80-18 ,Single disc,Single disc,"860 mm (33.9 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),,,,,,,,,,127.5 kg (281.1 pounds),0.1157 HP/kg,,,,,12.50 litres (3.30 US gallons),White,,,,,,,,177.0 km/h (110.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Vegas Jackpot,2006,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1638.8 ccm (100.00 cubic inches),"V2, four-stroke",,,101.0 x 102.0 mm (4.0 x 4.0 inches),Injection.  Electronic Fuel Injection with 44mm throttle bodies,Single Overhead Cams (SOHC),,,Air,Belt   (final drive),,33.5°,"Conventional telescopic fork, 43mm diameter, 5.1in/130mm travel","Single, mono-tube gas, forged and cast aluminum with rising rate linkage swing-arm, 3.0in/75mm travel, preload adjustable spring",80/90-21 ,250/40-18 ,Single disc,Single disc,"653 mm (25.7 inches) If adjustable, lowest setting.",1684 mm (66.3 inches),9.8:1,6-speed,"Wet, multi-plate",,,Staggered slash-cut dual exhaust with common volume,,,,292.1 kg (644.0 pounds),,,2446 mm (96.3 inches),,135 mm (5.3 inches),17.03 litres (4.50 US gallons),"Black, Sunset red, Mulitcolored",Electric,,300 mm (11.8 inches),,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Tourist,2006,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Twin, four-stroke",40.0 HP (29.2  kW)) @ 5600 RPM,52.0 Nm (5.3 kgf-m or 38.4 ft.lbs) @ 4000 RPM,78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor. Twin Keihin L 22 AA,Overhead Valves (OHV),,,Air,Shaft drive (cardan)   (final drive),,,Telescopic fork,Hydraulic spring shock absorbers,,,Single disc,Expanding brake (drum brake). Rear and sidecar wheel with IMZ drum brake,"785 mm (30.9 inches) If adjustable, lowest setting.",,8.6:1,4-speed,Dry double plate,,,,,,,335.0 kg (738.5 pounds),0.1194 HP/kg,1100 mm (43.3 inches),2580 mm (101.6 inches),1700 mm (66.9 inches),125 mm (4.9 inches),19.00 litres (5.02 US gallons),"Red, Black",Electric & kick,With sidecar. Gearbox with reverse. Recommended max speed 105 km/h (65 mph).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha BWs MotoGP,2006,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",3.2 HP (2.3  kW)) @ 6500 RPM,3.6 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 6000 RPM,40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor,,Electronic (C.D.I.),Seperate lubrification,Air,Chain   (final drive),Front suspension system,,Hydraulic and telescopic fork,Hydraulic unit swing,120/90-10 ,150/80-10 ,Single disc,Expanding brake (drum brake),"768 mm (30.2 inches) If adjustable, lowest setting.",1172 mm (46.1 inches),7.2:1,5-speed,,,,,,,,75.0 kg (165.3 pounds),0.0428 HP/kg,1051 mm (41.4 inches),1685 mm (66.3 inches),754 mm (29.7 inches),124 mm (4.9 inches),5.30 litres (1.40 US gallons),,Electric & kick,,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
